"username","score"
"doctorjazzi",-0.95712565690904
"Daposhon",-1.28651374463322
"CEO4SHO",1.07488064746026
"KBSeauxluxe",-1.98890704551133
"ramoncoto_0716",-1.12752439968872
"caileyjar4",0.985877620976481
"irenethebeannn",-1.35413150357022
"kdottttty",0.175634247960211
"Withlovesindi",-0.0729213991069041
"DrewProud",-0.566387672575941
"CnickelsonHp",1.61403340471005
"Jacorianlewis",-0.172767541307842
"beatriceee18",-1.24475710788786
"Msdavis2Them",-1.46310147035814
"cocolov13",-0.914778694971291
"beesandcheese",-2.03969090739225
"VickersTroy",1.7627012270904
"Anjelai_",-2.32887828047391
"shameikalhsmith",-0.701808313381186
"MsGlamorous29",-1.4698571366086
"willnyguifarro1",1.38169620607302
"smitnwessun",-1.94260067618403
"the_savannahrae",0.234175362310836
"xStarryAkari",-0.506944408787974
"stavepls",-0.443113442578989
"_Nathalyyyy_",-2.25710648754633
"Eltorbellino93",-0.540539822611686
"scknows",-0.788753951374048
"Mzbluerapdiva",-1.06453235676123
"Sucmytwidder",-2.32407308196126
"markdrosa97",-0.412594483055073
"stacyannette33",-0.186265177676829
"juicybomb",-0.42236204992527
"piphy__",-1.71433717422749
"BigHatPosse",1.13748742896645
"QuisStylinn",-0.595434296433751
"8BitShane",-1.28664001891924
"Htx02anxa",-0.661204435224118
"Nachitooo10",-0.473791422947373
"maryaligoz",-1.26336590817411
"CourtneyABC13",0.487970586868784
"HillaFelice",0.10249394664986
"Rasberry_TR",0.977113143390907
"markjgardner",0.982835332065101
"Dvminicc",-0.422651692777498
"waynesiren",-1.29603487258811
"TheresaRockFace",0.122525197147427
"AstrosFanReads",0.653690709531148
"ceejaa3",0.883253688295509
"SpicyAboki",-0.787125807691457
"1996donii",-0.338569194342861
"AstrosNurse",1.12795225052601
"bySteveGuthrie",-1.99210423872246
"ImNicole_Xo",-1.46753302149359
"jakelupardus",-2.34088125683917
"pilar_martinez3",-0.934824426165288
"JasonDangerDiaz",1.03162879924624
"SkyFlyWalker",1.8486692177969
"UHCougarDude69",-1.66547678080359
"duhlaykneeee",-1.50543445670215
"jamoore26",0.172802279155687
"webtilton",-1.73040984249789
"PJ_LSU",0.597675699621565
"RJMarquezJr",1.84560930819269
"myragzmn",0.616744717232244
"TommytotheShawn",-0.344864371618872
"AprillJazminn",-0.507143592671417
"ASHLEYSWANKZZZ",-0.816753282372172
"JerrodisDorrej",0.682319424839618
"Christian_Ciera",-1.44469392642654
"NaeSoGucci",0.914556476540742
"misssybe",-1.82762850748588
"esparz_b",-0.23438046222534
"Zeus319",0.439315655510672
"BreannaAundria_",-1.92446810218935
"GokuSpaceCowboy",0.573984576292502
"T_J_A31",-0.024137782069247
"_elementsofme",-1.73952830426362
"ComedianTressa",-0.465790007126245
"GermanyCory",-0.232149233593098
"ecogoth70",1.19477414175112
"UKing713",-1.43259402110897
"Rhemites_cool",-0.819660441964387
"cliffordpugh",0.391270288579531
"Britt_713",0.641566003430705
"37ivannn",1.10496844317066
"MattPenyuh",1.03023784985827
"AndreaSegraves",0.452331949127109
"robert_scholl",1.71105048891735
"awesome77747",1.32847453863189
"HeatherPNix",1.66800574172561
"bobbylopez722",0.975986778546726
"aaron_tagerson",1.19006195696589
"cathyjacobs5",-1.37617689440238
"KalebRMonroe",-0.459014318962896
"CorksConcierge",-1.07395600300121
"wheredidjonahgo",0.870086707589293
"madiiposaa",-0.791827208682369
"DarKerSideDJs",1.36410022516852
"avillanueva3rd",2.31730002404831
"jenny4_16",-2.39017667167117
"NaturallyKurved",-1.69293544032646
"avo_semaj",-1.09900122583059
"_WellSheCares",-1.50180924806715
"LindseyHenry365",1.19354781103619
"emiawardd",-2.38973457117449
"phrasekeymelody",-1.41285308203981
"PoojaOnTV",0.854077424466367
"John_Royal",-1.06565180315511
"sarahjean40",-0.537852816380586
"zachwolfelaw",-0.97414201399983
"not_dillan",-0.249571414057081
"cufarmer",1.59043520596388
"Dannytrz",0.711764131697604
"DEEBOfitness",-2.09942491534862
"R4ScottA_DrA",-1.15247575379269
"cforse1500",1.60138959809392
"MrsHankinsClass",0.522789097580039
"Ms_TynishaSmith",-0.456408985114648
"_alejandrooo_m_",-0.929349358855392
"JohnArcovio",1.96806037384354
"angelheart125",-2.06984269091967
"ChasingSnyder",1.50248696151774
"NoraNsunjwi",-1.55695353878841
"Kelleynotevan",0.699255482720076
"yungelvooooo",-2.26376647603661
"Simply_Daph",0.163118471647277
"lyceumgalveston",0.729816187015197
"tamu1989",0.497861485050889
"pamela_dahl",-0.736572625103527
"clavelluro",-0.0171230407872126
"xxxina_bea",-0.241329116138603
"socalnativefemm",-0.287435595823734
"gotkidzneedhelp",-0.0908229940324123
"wj_voice",0.784808811265874
"BrooksandDavis",-0.712268542339963
"Ronnie71Craig",0.00650256576573963
"MayraABC13",0.44997035570491
"LAN_Engineering",0.896018377340641
"SylvesterTurner",-1.49773508994015
"johnpneedham",1.0006569947025
"JeffSyptak",0.592677363950783
"squeakytoy",-2.30294720669665
"BrandiKHOU",0.643503575950217
"morettor",-1.44876421764254
"KimberlyHardng",1.69118181443707
"MeVictorD",0.754029734109826
"TyronMcDaniel",-2.01026134795395
"GreatBeerNow",1.05545613117523
"RepEdThompson",1.63656318196638
"Kdean_2007",1.29080329444321
"Kelliprovocate",-1.44973184104659
"HoustonISD",0.988244246007658
"IanShelton1997",0.915083486724851
"WineryErma",2.33349766692832
"DanCollins2011",1.3949731921663
"claudiamcpher18",0.785429638206477
"ChrisCostaTV",0.876742299298889
