606614112	2021-06-21T15:52:56.000Z	1407003613180874752	 It depends on your needs but Sapphire Reserve is good if you like to travel and spend a lot of money at restaurants!If your spending is all over the place in different categories I’d probably recommend the VentureCard from Capital One or the Chase Sapphire Preferred (…)	{'place_id': '01a9a39529b27f36'}
1328434934818738176	2021-06-21T15:10:41.000Z	1406992978703536136	 Miss you too. Brooklyn is a fine place to visit. 😉	{'place_id': '011add077f4d2da3'}
4861170652	2021-06-21T14:56:00.000Z	1406989283030937613	 Nah I’m pissed off cuz I actually use them for toiletries!! LV literally got its name as a luggage company and they stop selling travel bags?	{'place_id': '926fea31818e07d2'}
58913244	2021-06-21T14:45:36.000Z	1406986667412570113	Considering that there's still no meaningful international air travel, this is pretty damn good. 	{'place_id': '011add077f4d2da3'}
778992175916933120	2021-06-21T14:33:49.000Z	1406983699523063808	Dell Cullum visit with Athena 	{'place_id': '011add077f4d2da3'}
754934933215252480	2021-06-21T14:28:49.000Z	1406982444306337802	working the  a.m. shift we try to make it a point to visit neighborhood coffee shops every morningtoday’s stop: D0 cafe in Fort Lee which is beary cute 😍🐻 	{'place_id': '1208fdbcde143000'}
89102028	2021-06-21T14:21:44.000Z	1406980661177720835	someone who is lonely or depressed, pay them a visit. Take them flowers, a fruit basket, home baked cookies, or a good uplifting book–letting them know you care. If someone is sick, find out what you can do to help. Do they have pets that need looking after? Childcare (0/0)	{'coordinates': {'type': 'Point', 'coordinates': [-73.63471363, 40.68468468]}, 'place_id': '4191c128bb4261b5'}
1016302298723766273	2021-06-21T13:19:47.000Z	1406965069016096770	….When you hear about being accused of biting somebody’s style cause you wanna work with the same models they do… the models that travel all over to work with OTHER producers… yeah those models. 🤣 	{'place_id': '3d3c56338b6a3b4a'}
25886749	2021-06-21T13:07:40.000Z	1406962019090243594	Anyone have any travel tips for Portugal? I'm going to be in Lisbon-Fatima-Porto	{'place_id': '011add077f4d2da3'}
1120359789731643392	2021-06-21T13:06:02.000Z	1406961609835257857	Your 0/0 LCS & Card Show wrapped into one!💯 Trusted & Knowledgeable Sellers💯 Great Deals & Cards💯 Inventory updated daily💯 Fast & Easy TransactionsVisit my shop…✨The Point Sports Cards ✨and save 0% just by mentioning this tweet. 	{'place_id': '00c55f041e27dc51'}
