1904185064	2020-03-16T20:14:42.000Z	1239646292965560320	Some beauty from Hope the Friendly Garden to brighten your day! Visit their IG page: hope_friendly_garden, to see their peach tree and more photos from the garden. … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.9048314, 40.6727567]}, 'place_id': '011add077f4d2da3'}
34487176	2020-03-16T20:09:26.000Z	1239644967909208065	 Corona Edition!Some of you know that, for years, I’ve been recording my own classes and sequences so that I can “take my own class” when I travel. In fact,  and I did a few together… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
222097432	2020-03-16T20:07:35.000Z	1239644502169657347	Yes totally agree before0am ...💪🏽⚜️⭐️💪🏽⚜️💯💪🏽⚜️⭐️💪🏽⚜️💯💪🏽                … 	{'coordinates': {'type': 'Point', 'coordinates': [-74.04805556, 40.88777778]}, 'place_id': 'a64b09ad02cb5c61'}
35011253	2020-03-16T20:04:25.000Z	1239643705721663490	DONT VISIT UR GRANDPARENTS !! 	{'place_id': '01a9a39529b27f36'}
575624243	2020-03-16T20:01:55.000Z	1239643074688700417	"As we continue to work through this trying time, please know that St. Patrick's Cathedral remains ""America's Parish Church"". In an effort to still provide daily Mass, visit our video archive page for information on how to join us from home: "	{'place_id': '1076f9d811141005'}
38229809	2020-03-16T20:00:23.000Z	1239642690742030337	⚠️ If you support me: Please watch and listen ⚠️COMMENT BELOW when you’re finished to let me know you watched ☑️...VISIT: Thank you to everyone that supports my career and helps me do what I… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
50179868	2020-03-16T19:51:31.000Z	1239640458592124930	People really thought they were still going to travel to Europe for fun this month. Hardheaded asses.	{'place_id': '01a9a39529b27f36'}
708290058852429824	2020-03-16T19:48:11.000Z	1239639620398264330	Help if you can with patronage 	{'place_id': '01a9a39529b27f36'}
39958499	2020-03-16T19:42:12.000Z	1239638113309413377	After careful thoughts we will operate on a different schedule this week. Please go online to make your appointments. Also, we ask that you reschedule your appointment if you came back from any international travel… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.995767, 40.7212715]}, 'place_id': '01a9a39529b27f36'}
357281199	2020-03-16T19:30:01.000Z	1239635047298277378	  I have a feeling that students might object to this...hotels might be a better choice given no one can travel no?	{'place_id': '011add077f4d2da3'}
949008339794644993	2020-03-16T19:25:15.000Z	1239633847798693888	“Avoid gathering in groups of more than 0 people avoid discretionary travel and avoid eating and drinking in bars, restaurants and public food courts,” said President Trump	{'place_id': '8a9c191d2cf2e895'}
496653926	2020-03-16T19:04:59.000Z	1239628748258975745	My travel through Times Square be soo easy now	{'place_id': '01a9a39529b27f36'}
18873627	2020-03-16T19:01:52.000Z	1239627965471825920	 It’s like babe, my hygiene is exemplary & I have zero symptoms but I am not naive to think that with the amount of travel and people I interact with on the daily that I haven’t been exposed... we should literally just assume everyone we meet has it	{'place_id': '01a9a39529b27f36'}
3033714667	2020-03-16T18:57:18.000Z	1239626815041404929	What’s even more selfish than people not self-distancing are travel companies not offering full refunds/full credits for ONE year during this time. We don’t know what next week brings, how will we know what the next few months will be like? THIS IS WHEN RELATIONSHIPS ARE MADE.	{'place_id': '002e24c6736f069d'}
1030110827154743297	2020-03-16T18:55:51.000Z	1239626448559902728	 Heard that you may be stuck in the UK for the time being? Trump added the travel ban to the UK and Ireland as of tomorrow morning.	{'place_id': '00c39537733fa112'}
718249531008282625	2020-03-16T18:55:16.000Z	1239626303009062912	the day i come to visit the homies, no one is here 🥺	{'place_id': '01a9a39529b27f36'}
351038190	2020-03-16T18:46:52.000Z	1239624189709082624	This time yesterday I was visiting my mom in NJ which actually didn’t seem like a real visit at all since we didn’t come closer than 0 feet & stood outside in the driveway while I told her I missed & loved her but I… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96303, 40.71534]}, 'place_id': '011add077f4d2da3'}
261032638	2020-03-16T18:35:24.000Z	1239621303201665024	 Thanks anyway, but find the idiots that started to spread this horror! Someone should be held liable for this! Air travel from China should've been shut down sooner than later!😡 too much suffering because of Ignorance!	{'place_id': '011add077f4d2da3'}
223112038	2020-03-16T18:33:38.000Z	1239620859544981510	No funny I’m definitely tryna travel this summer fuck it, hopefully this shit goes down!	{'place_id': '011add077f4d2da3'}
1227829603642880000	2020-03-16T18:32:31.000Z	1239620577176047622	Now let's end this  video package with a visit from Dr 	{'place_id': '011add077f4d2da3'}
58295562	2020-03-16T18:26:54.000Z	1239619166660853762	Day 0 of self-exposure - had to take three trains, sit in a courthouse for a few hours, and do a home visit to a family of four children and an elderly woman. I had no choice here, for legal/ethical reasons. If you have a choice to stay home, please do it.	{'place_id': '01a9a39529b27f36'}
2724499870	2020-03-16T18:09:55.000Z	1239614892388298753	Some of the other factors into this decision are the state and federal government’s increased effort to stop the spread of COVID-0, and the possibility of domestic travel restrictions and mandatory quarantine. 	{'place_id': '24661d47b426cdac'}
3314157681	2020-03-16T18:06:27.000Z	1239614017720799232	Me looking and waiting for the fly to stop moving so I can slap the shit out of it 	{'place_id': '01a9a39529b27f36'}
224277382	2020-03-16T18:05:50.000Z	1239613862309253127	Working from home for 0 weeks with no travel AKA finishing up some wedding budgeting and planning lol	{'place_id': '00c39537733fa112'}
1028821446	2020-03-16T17:55:43.000Z	1239611318551920644	Tonight is the anniversary of the passing of my direct ancestor, Rebbe Elimelech of  (0), the first Hasidic Rebbe in Poland.Every year, tens of thousands of people visit his grave on this day, my Dad included.This is how it looks today 😪	{'place_id': '01a9a39529b27f36'}
829786689711243264	2020-03-16T17:43:39.000Z	1239608278864269317	Letter from NYCDOE Chancellor Richard Carranza regarding the school closure. For more information, visit  nycschools teachnyc_official   uftparachapter @ PS 0 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00737, 40.6322]}, 'place_id': '011add077f4d2da3'}
447401356	2020-03-16T17:24:20.000Z	1239603419645648896	You’re delusional. If not for ’s travel bans those sanctuary assholes would be dealing with a much larger problem. I’ll thank you to refer to my Commander in Chief as Mr. President otherwise keep your piehole shut. 	{'place_id': '011add077f4d2da3'}
29902828	2020-03-16T17:05:53.000Z	1239598774797971457	 * yes!!!! And don’t forget the rollercoaster accident, i didn’t visit amusement parks for a long time.	{'place_id': 'edd2aa964fa61ec9'}
180638245	2020-03-16T17:05:36.000Z	1239598704035848192	 come visit the Upper East Side we have some pizza spots we want you to check out! 🍕🙏🔥	{'place_id': '01a9a39529b27f36'}
1083131837780815875	2020-03-16T17:04:15.000Z	1239598365769379841	If you have Borough Business, please ask yourself the following questions. If the answer is YES to any of the following, PLEASE DO NOT ENTER Borough Hall. Please visit our website,  to see what you can accomplish online. More updates to follow. 	{'place_id': '0723adbed02c7153'}
1042131567601172481	2020-03-16T16:56:02.000Z	1239596298518626311	The burn on my legs today is something that hasn't happened in a while it's that if someone thinks we're too behind on where we should be in the atmosphere they give me a pain of sorts and then I have to remember and realize to find the source of the pain and travel beyond it for	{'place_id': '00c39537733fa112'}
63901931	2020-03-16T16:55:02.000Z	1239596043886526464	 I was supposed to visit Spain and Israel this week. ☹️	{'place_id': '01a9a39529b27f36'}
471342128	2020-03-16T16:47:55.000Z	1239594254940475392	 me: I’m coming to visit!! ☺️☺️☺️🥳🥳you: 	{'place_id': '42333d5a509e9bc3'}
279388265	2020-03-16T16:47:09.000Z	1239594061964677120	I woke up and got word that Con-Ed employees are still expected to visit VARIOUS homes to read meters and not only put themselves at risk for COVID-0 but potential carry it from home to home.. why ?!!!  	{'place_id': '011add077f4d2da3'}
18413922	2020-03-16T16:40:37.000Z	1239592417780805634	..if in 0-0 months time we have cleared the (initial?) peak in this region, & think maybe we can start relaxing the distancing..do we impose screening for travel into the region from other parts of the country that haven't gotten things under control?	{'place_id': '011add077f4d2da3'}
471342128	2020-03-16T16:39:07.000Z	1239592041887289348	Just had to cancel my fight to visit  within one day of booking. 	{'place_id': '42333d5a509e9bc3'}
195546843	2020-03-16T16:38:45.000Z	1239591949612584960	Starting tonight, all non-essential and non-emergency travel in New Jersey is strongly discouraged between the hours of 0:0 PM AND 0:0 AM. This will remain in effect for the foreseeable future. We want everyone to be home – and not out. 	{'place_id': '8279f00eacbd9f3b'}
460881827	2020-03-16T16:34:11.000Z	1239590800494866434	Visit  - this is my brother’s company where I’ve been associated Director for many years and still teach part time - from what we hear students will have limited access to teacher help over the next few… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.48063222, 40.82593105]}, 'place_id': '01b1ca90360bd9f4'}
2157222616	2020-03-16T16:33:37.000Z	1239590654960979968	 Now the influencers are out of a job.  They can’t do a travel blog or post pics.	{'place_id': '01a9a39529b27f36'}
259244490	2020-03-16T16:32:07.000Z	1239590278824165376	Coronavirus: Temporary ban on travel to the EU proposed  	{'place_id': '00c39537733fa112'}
4915145793	2020-03-16T16:30:39.000Z	1239589907691180035	New Travel Essentials  💛✨     💅🏽 	{'place_id': '01a9a39529b27f36'}
820033091305672704	2020-03-16T16:14:20.000Z	1239585801241067521	  These closings, the State government’s restricting freedoms and dictating what and where we can travel...  this is not the virus this is a dress rehearsal... but they forget we have guns!	{'place_id': '011add077f4d2da3'}
877904899530526720	2020-03-16T16:12:44.000Z	1239585401242877954	  I hear you. And yes, some are very determined to travel.	{'place_id': '01a9a39529b27f36'}
188169886	2020-03-16T16:07:56.000Z	1239584193815986184	All this time off.. and flights to Puerto  Rico are deadass 0 cash round trip.. might needa go pay grandma a visit. ACHO NENEEE ESTE VIRUS ESTA CABRONNNN !	{'place_id': '002e24c6736f069d'}
39377605	2020-03-16T16:02:02.000Z	1239582706477998083	My job is cancelling EVERYTHING to may. Surgeries, office visit, EVERYTHING!!! But i still gotta work 🥴	{'place_id': '01a9a39529b27f36'}
757201483	2020-03-16T15:59:23.000Z	1239582040988823552	Seeking vital records or property cards? Please visit us online to request documents:  Have research questions? Contact us here:  	{'place_id': '01a9a39529b27f36'}
1351657326	2020-03-16T15:45:40.000Z	1239578586849443842	A month ago, China shut down the damn city to protect virus spreading. All Chinese people limited their travel and work for a month. Why can’t you do this America? My school canceled all class, but some stupid students were hosting parties on the lawn. Insane  	{'place_id': '01a9a39529b27f36'}
182952420	2020-03-16T15:30:09.000Z	1239574683621699586	Postponeing my travel for at least another week things just sound to risky to even drive to FL. Not sure what I might run into 	{'place_id': '011add077f4d2da3'}
579493693	2020-03-16T15:23:26.000Z	1239572992427995138	Since schools are officially closed. I’m using this time to get myself tested for Sexually Transmitted Infections.  My body usually shows symptoms, I don’t have any right now, but you NEVER KNOW unless you get tested.  If you live in NYC, visit one of these FREE CLINICS: 	{'place_id': '01a9a39529b27f36'}
128126054	2020-03-16T15:08:09.000Z	1239569147060764677	All non-essential travel is *strongly* discouraged. In addition, New Jersey will enforce the same restrictions on bars and restaurants as NY and CT - they must close at 0pm. Delivery and takeout will remain available. Nightclubs, gyms and movie theaters must close.	{'place_id': '049dab98ad35cd07'}
17329137	2020-03-16T14:54:44.000Z	1239565772512428037	TRI-STATE RESPONSE (presser)  If over 0 stay home, Elderly need to visit FaceTime.People buying gift certificates to support businesses, restaurants etc.	{'coordinates': {'type': 'Point', 'coordinates': [-73.77990057, 40.91299438]}, 'place_id': '11cdb607ab2f17bb'}
1229883217068556289	2020-03-16T14:54:08.000Z	1239565619974090753	           For Thee MAGI_OMNI_CZAR_TSAR_&_§§ia Record The UN Never Had Permission from Majestic_Royal Dutch Star Extra_Terrestrial & Alien Genetics Department to Open a [CounterIntelFirm Named UN] Public Dumbed & Confuse the Entire World for Money Opportunities & Travel That Was Disallowed! 	{'place_id': '07d9d7da2ec86000'}
17329137	2020-03-16T14:50:02.000Z	1239564588515016705	TRI-STATE RESPONSE (presser)   All non-essential travel discouraged after 0 pm tonightAll non-essential business close, 0 person limits during day.	{'coordinates': {'type': 'Point', 'coordinates': [-73.77980756, 40.91290283]}, 'place_id': '11cdb607ab2f17bb'}
833858803946889216	2020-03-16T14:47:26.000Z	1239563934274895875	“We are not closing down transportation, we’re not closing down roads or bridges, we are not putting a curfew into effect or travel restrictions – TODAY. At any point in this trajectory, we may change that depending on the facts.” - 	{'place_id': '3e5747ad4b36ff72'}
