494294806	2020-07-20T17:03:46.000Z	1285259112901574657	Social distancing in Mexico. To enter Mexico: Health Declaration, Temp Check and no Quarantine. The common sense protocols from the top down are in the interest of public health and me feel totally “safe” here.     ー0 	{'place_id': 'fb76b3aa366004c9'}
339102721	2020-07-20T16:51:18.000Z	1285255975381856256	For this Boredom Buster, we are turning our family members into mummies! Grab some toilet paper, pick a family member to wrap, and see if you can cover them up in 0️⃣ minute! Have fun!🧻🤣⁣⁣For more  contests, crafts, and activities, visit  	{'place_id': '5e68ca240e32025a'}
65548585	2020-07-20T16:47:51.000Z	1285255109190930433	Or you can visit Discord: 	{'place_id': '3b77caf94bfc81fe'}
1018172812958228480	2020-07-20T16:45:00.000Z	1285254391025422337	I am available now in    To contact me, visit  👇🏻	{'place_id': '3b77caf94bfc81fe'}
1260091056479023105	2020-07-20T16:27:46.000Z	1285250053167214592	Stay informed with   trials and further developments. For first-hand updates, visit           😷💉 	{'place_id': '3b77caf94bfc81fe'}
262393855	2020-07-20T16:15:06.000Z	1285246866582417409	 All my docs are through Cedars Sinai. Their protocols are pretty strict. I'm not sure we're safe anywhere, but I hope your visit is safe and good news awaits.	{'place_id': '3b77caf94bfc81fe'}
128404435	2020-07-20T16:11:59.000Z	1285246082386210816	Via The Source Magazine 🚨THE SON OF A NEW JERSEY JUDGE WAS SHOT AND KILLED IN A SHOOTING THAT ALSO INJURED HER HUSBAND🚨Article by Jordan Eversley🔥🔥🔥Visit  NOW for your daily culture nourishment!! Also,… 	{'coordinates': {'type': 'Point', 'coordinates': [-118.40033, 34.07347]}, 'place_id': '741e9df4d2522275'}
94470362	2020-07-20T16:04:07.000Z	1285244102485798912	Going back-to-back next hour: - bi-weekly visit with  on  then Monday stop-in with  on   Find us here:	{'place_id': '3b77caf94bfc81fe'}
18894330	2020-07-20T16:01:30.000Z	1285243443237629952	  You can go cause you wanna see and do normal shit. But there’s a group of people who travel there purely on some Epstein type shit. You can tell by how they talk about their trip being amazing but are slandering the locals in the same breath.	{'place_id': '3134f9d2892d2685'}
1269824922	2020-07-20T16:00:11.000Z	1285243113477337090	Business travel may never go back to the pre-coronavirus era in the U.S.  via 	{'place_id': '4d1d90faa5484b1c'}
24871737	2020-07-20T15:35:14.000Z	1285236835514494976	 • • • • • •Los Angeles Marriott Burbank AirportWe are officially SOLD OUT for   However you can still join a Wait List to be notified if tickets become available.  Visit our… 	{'coordinates': {'type': 'Point', 'coordinates': [-118.338, 34.1787]}, 'place_id': 'b0b79caecef59fb5'}
27446303	2020-07-20T15:28:36.000Z	1285235163866247169	Dark Delicacies is closed today but you can visit our shopping cart on the website 0/0 ( Or if you have questions or concerns you can drop us an email at Darkdel  … 	{'coordinates': {'type': 'Point', 'coordinates': [-118.34571362, 34.16528037]}, 'place_id': 'b0b79caecef59fb5'}
18484314	2020-07-20T15:18:03.000Z	1285232510033522690	  A visit to  ?	{'place_id': '3b77caf94bfc81fe'}
14950633	2020-07-20T15:11:56.000Z	1285230970292113408	What a “simple visit” to the dentist looks like in our new normal 🙄 írus          @ West Los Angeles 	{'coordinates': {'type': 'Point', 'coordinates': [-118.43014506, 34.04658747]}, 'place_id': '3b77caf94bfc81fe'}
122429429	2020-07-20T15:01:59.000Z	1285228465935925249	 This guy lives in my hometown of Syracuse NY. I see him at my Mom’s gym when I go visit. 💪🏾💪🏾	{'place_id': '3b77caf94bfc81fe'}
309375175	2020-07-20T14:43:17.000Z	1285223760090497026	CHECK OUT OUR NEW FACEBOOK PAGEI Love Black Movies Travel will feature travel inspiration from celebrities and filmmakers on location around the world! Get your Passports ready. We will travel again! And I Love Black Movies Travel will lead the way... 	{'place_id': '3b77caf94bfc81fe'}
1021762106356453379	2020-07-20T13:44:02.000Z	1285208848840589313	 Sorry Lexi, we will travel again!	{'place_id': '3b77caf94bfc81fe'}
15576793	2020-07-20T13:21:01.000Z	1285203058238971908	  who wants to go to the nixon library right now? who wants to casually visit the watergate guy’s birthplace during covid-0 and black lives matter in the middle of summer? lol read the room	{'place_id': '3b77caf94bfc81fe'}
22188352	2020-07-20T13:08:37.000Z	1285199938410786816	Some people be doing the most just to visit their side piece 	{'place_id': '2da132a7bfebfc0c'}
