902359445652439040	2021-06-28T14:08:51.000Z	1409514132710182913	So ready for The Book! This pin is back in stock, visit  to get one!   	{'place_id': '3b77caf94bfc81fe'}
1169995865492115458	2021-06-28T08:09:00.000Z	1409423574503366656	I literally fly to Guatemala on Friday yall for a momth	{'place_id': '2da132a7bfebfc0c'}
1169486378368765952	2021-06-28T07:20:24.000Z	1409411342130323458	Moving a heavy safeFor more info visit:  	{'place_id': '3b77caf94bfc81fe'}
27412149	2021-06-28T06:32:46.000Z	1409399357376405504	With travel starting once again, please be aware: you’re at greater risk of being scammed. Amy K' S  bipartisan Protecting Consumers from Travel Fraud Act will help protect consumers from travel scams and prevent fraudulent behavior in the travel and tourism industry moving	{'place_id': '3b77caf94bfc81fe'}
1146245949200617472	2021-06-28T05:15:25.000Z	1409379891255013390	I really enjoyed my visit at my grandparents’ house and my grandmother taught me some hair-caring tips for my new red-dyed hairdo. New tricks, I mean!✌️😉 💆🏾‍♀️ Additionally, Grandma bought me a personal curl-iron wand for my hair which was sweet of her. 🥰 	{'place_id': '5e68ca240e32025a'}
1199174472	2021-06-28T04:56:53.000Z	1409375227847401475	 That  time travel .   Umm the ManDalorian..	{'place_id': '3b77caf94bfc81fe'}
767967641273298944	2021-06-28T04:39:14.000Z	1409370785429344262	I can’t wait to travel the world	{'place_id': '2da132a7bfebfc0c'}
33569742	2021-06-28T03:04:01.000Z	1409346821952983042	Kawhi Leonard won’t travel with Clippers to Phoenix. Translated into realism: He has played his las game in a  uniform.	{'place_id': 'f2f180b090191151'}
189721149	2021-06-28T02:26:25.000Z	1409337358105812992	 Hopefully some day. One of my dreams is to travel the world especially Asia for a food trip lol	{'place_id': 'a077793faceeda6f'}
188859617	2021-06-28T02:18:00.000Z	1409335242947584002	Fast and the Furious Prediction:  Fast 0 crosses over with Jurassic Park.  Dons kids go visit the island, predictably things go wrong, who do they call to drive a ‘0 Jeep to save the park…Daddy Dom.   	{'place_id': '3b77caf94bfc81fe'}
270451667	2021-06-28T02:07:28.000Z	1409332589102473217	me: i’m excited for you to paint the cabinetsapril: oh im not doing that until you come down to visitme: OH SO YOU WANT ME TO DO IT IS WHAT YOU TELLING ME april: 😂😂😂	{'place_id': '3b77caf94bfc81fe'}
1164900451977793536	2021-06-28T02:06:29.000Z	1409332341579730945	 One of my favorite places to go when I visit. :)	{'place_id': '10de09f288b1665c'}
760719668093022208	2021-06-28T01:22:34.000Z	1409321293506236422	 Why would you only focus on this one aspect!  MAW just grated a wish for my neighbor!  All she asked for was a new playroom in the family’s garage!  Not everything revolves around air travel!!!  You should be ashamed of yourself for being so negative!  I have witnessed goodness!	{'place_id': 'eb1bb64775708bc1'}
320383966	2021-06-28T00:54:33.000Z	1409314240578482181	i’m not getting in a relationship until I travel out of the country	{'place_id': '3b77caf94bfc81fe'}
1020126185370468352	2021-06-28T00:47:45.000Z	1409312529021431808	We’re giving away ANOTHER  MF0 as part of our  giveaway. The perfect light for a 0’ x 0’ grow area, and a welcome addition to any sized grow space! Visit our deals & discounts page on  to enter! - Grower Love 	{'place_id': '3b77caf94bfc81fe'}
1108003534170140673	2021-06-28T00:03:44.000Z	1409301454037340162	Palm Springs was an absolute VIBE🌴🌴🌴🌴🌴🌴 Los Angeles what’s up 👀👀👀       @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
877714628721102849	2021-06-29T23:55:47.000Z	1410024228628406274	Who's ready for Sunday? We're here to help! Visit us today through Sunday to get all your gear and beer for the 0th! We're open until 0pm tonight! @ Lincoln Beer Company 	{'coordinates': {'type': 'Point', 'coordinates': [-118.34687785, 34.20607554]}, 'place_id': 'b0b79caecef59fb5'}
1377397972313407492	2021-06-29T23:52:03.000Z	1410023287766323203	Don't miss out on getting your FREE  vaccines right in your neighborhood! Check the graphic to find your nearest mobile vaccination site & come say hi! ⏰💉🚍 Want more info? Visit our 🔗  in bio for multilingual resources about the vaccine in LA  	{'place_id': '3b77caf94bfc81fe'}
391606225	2021-06-29T23:30:09.000Z	1410017774856933376	 To Funny…I like to be comfortable when I travel as well! ✔️ 	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-06-29T23:19:20.000Z	1410015053869326336	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-06-29T23:19:12.000Z	1410015019677339648	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
2216945533	2021-06-29T23:11:16.000Z	1410013024614760448	Let’s show support in the workplace!!! Visit:  for up-to-date information about the IATSE’s largest film and television agreement. @ Local 0 IATSE Make Up Artists & Hair Stylists Guild 	{'coordinates': {'type': 'Point', 'coordinates': [-118.34551, 34.16553]}, 'place_id': 'b0b79caecef59fb5'}
997127675687981060	2021-06-29T23:08:08.000Z	1410012235926097920	It’s finally that time, friends. I need to make a visit to the Los Angeles DMV. 😬 What recommendations/tips & tricks/advice can you provide? Thank you in advance! ☺️	{'place_id': '3b77caf94bfc81fe'}
416584017	2021-06-29T22:50:02.000Z	1410007679557271552	 So let me get this straight. You call up Peters and make him fly to NY…….for ONE GAME……and he DIDN’T SO MUCH AS EVEN PICK UP A BALL…….Wow. Now THERE’S a WASTE of the fans’ $…….tell me- what’s next? Bringing up Adell and sitting him on the bench for one game? 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️	{'place_id': '70707114a9202b98'}
32516816	2021-06-29T22:33:05.000Z	1410003413761290243	I’ve decided that I will finally go from 0% vegan to 0-0% vegan - & I only say 0% cause I’m allowing for emergency food at work or travel once in a blue moon or milk chocolate cause I can’t do dark chocolate. 🙄🍫 (also once in a while.) So far it’s been since 0/0/0…	{'place_id': '3b77caf94bfc81fe'}
21964913	2021-06-29T22:23:13.000Z	1410000930787905536	 Amen brother, I like to wear a LA or a Raiders fitted where ever I go, and Eight Trays wear the same, so I could easily be mistaken cuz I got a lot of folks I visit on the regular over there, might have to stay on the Westside just to be on the safe side.	{'place_id': '3b77caf94bfc81fe'}
913912367007784962	2021-06-29T21:50:11.000Z	1409992617421676555	At 0:0 PM tonight, Assemblymember Laura Friedman will be hosting a virtual conversation about local LGBTQIA+ resources, including information about the new  Social Impact Center. To register please visit:  	{'place_id': 'b0b79caecef59fb5'}
732685960962572290	2021-06-29T21:39:45.000Z	1409989994068938758	The Netherlands Has Reopened Its Border to American Travelers 	{'place_id': '3b77caf94bfc81fe'}
1364705983897899009	2021-06-29T21:27:20.000Z	1409986867659894784	      Visit:  to schedule your next service in    or              	{'place_id': '2feb76248fd9c581'}
738812107	2021-06-29T21:21:25.000Z	1409985379772502017	Friendly reminder since everyone is traveling right now to not be rude to airline employees!! It is not their responsibility to make sure you have all your paperwork ready to travel it is yours!!! Check yourself!!!	{'place_id': 'aa755c5c1b8e341b'}
2333557436	2021-06-29T21:21:17.000Z	1409985346440351746	      Visit:  to schedule your next service in    or              	{'place_id': '01c060cf466c6ce3'}
1363921612530094081	2021-06-29T21:18:37.000Z	1409984675691438080	      Visit:  to schedule your next service in    or              	{'place_id': '70707114a9202b98'}
1651515241	2021-06-29T20:35:06.000Z	1409973723235377153	 When are you coming back to visit?	{'place_id': '741e9df4d2522275'}
312490873	2021-06-29T20:10:52.000Z	1409967627456311297	   Yeah I’d be really surprised if the guy who doesn’t sit with or travel with the team is going to jump in	{'place_id': '59612bd882018c51'}
903476513554571265	2021-06-29T19:53:42.000Z	1409963304353550337	I want to travel with friends so badly but will never get it🥲	{'place_id': '3b77caf94bfc81fe'}
67982260	2021-06-29T19:41:31.000Z	1409960238644568065	The corpse flower at the Huntington library is about to bloom and tickets were just released on their website for this week to schedule a visit. Hoping I make it within the 0 hours of this beauty blooming🌸the corpse flower can take up to 0 years to bloom 	{'place_id': '3b77caf94bfc81fe'}
1855881091	2021-06-29T19:39:09.000Z	1409959645079236608	  Next time I visit Batuu East I’ll let you know. Make sure to let me know if you visit the West. 😉	{'place_id': '20ba6fb3b1ee82da'}
2649443077	2021-06-29T19:22:45.000Z	1409955516667744260	This stunning property is conveniently located in the heart of Pasadena with close proximity to the shops and restaurants on Lake Avenue. With 0 bedrooms and 0 bathrooms, Unit 0 of Lake is listed at $0,0. For more information, visit  	{'place_id': '10de09f288b1665c'}
1855881091	2021-06-29T19:13:13.000Z	1409953115592216576	I think a visit to  is in order. Look at these wait times! 	{'place_id': '20ba6fb3b1ee82da'}
1328170666462351360	2021-06-29T19:00:12.000Z	1409949840138670085	"KBLA was HONORED to have Lora King (Chief Executive Director of the Rodney King Foundation) for coming onto ""The Tavis Smiley Show.""0 years after her father was brutalized by the LAPD. For more information on the RKF, visit their website at  "	{'place_id': '3b77caf94bfc81fe'}
318203929	2021-06-29T18:56:06.000Z	1409948810013339650	 I’ve been to Slovenia very beautiful country close to Austria and Italy, if you get a chance visit Lublijana the capital and Bled which has famous castle and beautiful lake	{'place_id': '3b77caf94bfc81fe'}
566657383	2021-06-29T18:32:29.000Z	1409942868383309824	I NEED TO VISIT ITALY ASAPPP 😭😭 ANY SUGAR DADDIES WILLING TO BUY ME A TRIP TO ITALY? 😚	{'place_id': '6f24e28976abe656'}
52684857	2021-06-29T18:18:06.000Z	1409939244911501313	Legends:  &   Thank You for last night’s quick visit.  keeps you busy but you still find time, a true gentleman. Still a Champion on & off the field. 💙⚾️    	{'place_id': '07d9f1cf20883000'}
27397381	2021-06-29T18:01:45.000Z	1409935132320931842	THEE USC SCOOP❕Who  Will Get, Could Get & Won't Get (Part I) 🔥THE ULTIMATE June 0-0 Official Visit Weekend Analysis + THE LATEST 👀 It's detailed, packed with insight, information and a perspective only we can offer 💫 via  ✌🏼	{'place_id': 'a75bc1fb166cd594'}
3141180860	2021-06-29T17:40:20.000Z	1409929742816485377	 currently dealing with blisters from sunday's visit 🥴	{'place_id': 'b0b79caecef59fb5'}
2804502793	2021-06-29T17:24:46.000Z	1409925823306428416	Flying to Japan today to get my wisdom teeth removed because it’s literally cheaper to fly to the other side of the world, stay there for a week, get surgery, and fly back, than to just get them removed here 😓 	{'place_id': '3b77caf94bfc81fe'}
1037181856230195200	2021-06-29T17:21:22.000Z	1409924970793234438	   It’s all about travel and tourism, social and creating a community of tourists.	{'place_id': '3b77caf94bfc81fe'}
538478694	2021-06-29T17:18:45.000Z	1409924311712899072	 It is cheaper to travel to Missouri, rent  a truck, drive it back to California, load the truck and drive it to another state than it is to rent a truck here for a move out of California.	{'place_id': '4e9de3f47ae939b5'}
201633079	2021-06-29T17:16:50.000Z	1409923828776509440	California adds 0 states to list of places where state-funded travel is banned 	{'place_id': '3b77caf94bfc81fe'}
987065607240601600	2021-06-29T17:15:40.000Z	1409923533119975428	Day 0 of hospital shenanigans. Walked Mercy to daycare, treated myself to 0Leaves, and made it to the hospital to visit my invisible husband  🙃 	{'place_id': 'cf2d9d01f16e9bd4'}
1000344289	2021-06-29T17:03:23.000Z	1409920444333920259	I never want to visit a lake again wow… 	{'place_id': 'b82c98fb6806ceb9'}
4329751993	2021-06-29T17:02:59.000Z	1409920343628664835	I’m going to travel the world	{'place_id': '3b77caf94bfc81fe'}
133260832	2021-06-29T16:59:59.000Z	1409919588800684034	We’re 0% of the way to our bonus $0,0! Just remember, no matter how big or small your donation is, you help us earn that bonus from our investor to make our film! Visit  and pick your perk!       	{'place_id': '3b77caf94bfc81fe'}
1265682984927019008	2021-06-29T16:56:05.000Z	1409918605563600897	We’re so excited to be back with a new season of our podcast! SEASON 0 is now available- visit this link: -             	{'place_id': '3b77caf94bfc81fe'}
957010956	2021-06-29T16:41:43.000Z	1409914991684194305	Living vicariously through all my friends who are traveling 🥺😍🥰 I love seeing ppl travel 🌟	{'place_id': '4db990e393c2e28b'}
42728013	2021-06-29T16:38:08.000Z	1409914088923140097	also it cracks me up when people say there HAD to be drama. we travel together all the time. we actually like each other lol. and we all get along really well. we are a family. we don’t argue on vacation. that’s the motto.	{'place_id': '3b77caf94bfc81fe'}
915768612	2021-06-29T16:31:44.000Z	1409912479593889794	This is my mood in general when I travel 	{'place_id': '3b77caf94bfc81fe'}
1005829933099376640	2021-06-29T16:27:58.000Z	1409911530922016768	Join  as he gets  insider prediction of the travel industry “new normal” post COVID and how solving a major problem at  was just in time to save countless lives during Hurricane Katrina:  	{'place_id': '59612bd882018c51'}
58713562	2021-06-29T16:26:01.000Z	1409911041618710531	Good morning from LA 🌞 I need coffee ☕️         	{'place_id': '59612bd882018c51'}
42728013	2021-06-29T16:24:11.000Z	1409910580215906308	we need a travel sponsorship. literally every time we travel we go viral lol like brands need to hop on this 💀	{'place_id': '3b77caf94bfc81fe'}
1234711996173451265	2021-06-29T16:22:07.000Z	1409910059220439042	 Sharing our adventures together. Travel, Music, Themeparks. Always keeping it fun and positive🙌🏼  	{'place_id': '3b77caf94bfc81fe'}
902359445652439040	2021-06-29T15:49:47.000Z	1409901922346180611	The Fun Fungi Pin Set is here! 🍄 Visit  to check them out! #🍄    	{'place_id': '3b77caf94bfc81fe'}
1069804509336125440	2021-06-29T15:49:38.000Z	1409901881854287874	Spent way too much money this month, securing more money .. starting to feel like it’s not even worth the travel anymore scrap	{'place_id': '3b77caf94bfc81fe'}
248703955	2021-06-29T15:33:22.000Z	1409897789715148802	Hearing Wolfgang Bar and Grill at  now serves breakfast.  Might need to research one visit.	{'place_id': 'bcd6f5a92e969e33'}
515084044	2021-06-29T15:26:31.000Z	1409896065029992452	  Welcome!! It’s definitely a special place! Loved growing up there and am going in a few weeks to visit with friends	{'place_id': '3b77caf94bfc81fe'}
515008453	2021-06-29T15:26:15.000Z	1409895997338124291	 Not shocked. I’m beyond being shocked by Gosar. The sound from the GQP is 🦗. Wonder if, like MTQ, they’ll make him visit the Holocaust Museum where he’ll “learn” about the Holocaust.	{'place_id': '575c6d4e1b73546d'}
21575420	2021-06-29T15:07:35.000Z	1409891299893809159	I took a magical walk down  memory lane - and a look ahead - with  (aka  at the new Warner Bros Studio Tour:	{'place_id': '3b77caf94bfc81fe'}
583982926	2021-06-29T14:49:53.000Z	1409886849271750660	 get out there and travel    🇺🇸❤️🤍💙🛩 	{'place_id': '3b77caf94bfc81fe'}
874025989872861184	2021-06-29T14:46:48.000Z	1409886072058830852	California bans state travel to Florida, 0 other states	{'place_id': '3b77caf94bfc81fe'}
190462153	2021-06-29T14:42:31.000Z	1409884994391220233	   Hey Mr. Beast! I make videos about living in your car. (I’ve been doing it for years now) I vlog my life, talk about mental illnesses, travel, and stay sober from drugs. (I was an addict for 0 years) Love what you do Mr. Beast! 💛 	{'place_id': '3b77caf94bfc81fe'}
25571306	2021-06-29T14:35:02.000Z	1409883112214085637	 I just want to travel, eat good food, and be happy. 😊💙🌊🛥	{'place_id': '38ea9782c8d83a4b'}
50765917	2021-06-29T13:27:05.000Z	1409866009486393346	Since Dland is still on a reservation system, we enjoyed our weekend at  My last visit was 0yrs ago…a very long time & a lot has changed. We also tried the butterbeer, it’s alright. Overall, great visit still bitter about the now extinct BTTF ride 😖 	{'place_id': '0fbeb00c2f541000'}
2234760798	2021-06-29T11:06:40.000Z	1409830673355972620	The State of California bans all state financed travel to the 0 states that now have laws deemed discriminatory to LGBTQ people. The 0 banned states include: Florida, Montana, West Virginia, Arkansas, North Dakota, Alabama, Kansas, Idaho, and Kentucky.	{'place_id': '3b77caf94bfc81fe'}
1533385736	2021-06-29T08:42:55.000Z	1409794495214854151	When I visit NYC again this is on my to do list… 	{'place_id': '3b77caf94bfc81fe'}
1046088980951789568	2021-06-29T06:58:11.000Z	1409768140301504542	Reincarnation again or Time travel concept ? These looks doesn’t look like Bheem/ Ramraju era et all. 	{'place_id': '3b77caf94bfc81fe'}
1361595919649497089	2021-06-29T06:52:48.000Z	1409766786946404358	 Hope you power through it smoothly YC, i feel so special that you had time to have an old friend visit 💙	{'place_id': '3b77caf94bfc81fe'}
330157175	2021-06-29T06:35:16.000Z	1409762374249111556	its a 0 day weekend for me!!! someone visit me!!   	{'place_id': '3b77caf94bfc81fe'}
435469430	2021-06-29T06:30:26.000Z	1409761156693041152	Every VC interested in disrupting the construction industry should be required to visit construction sites and meet subs. I've managed everything from paisa to recovering drug addicts and old guys with white beards in overalls. Robots won't be replacing them anytime soon.	{'place_id': '3b77caf94bfc81fe'}
541481961	2021-06-29T06:19:21.000Z	1409758367594127362	 A good cry. But seriously now that I've lived this long, I travel to a foreign country and stay in a 0 star hotel every year.	{'place_id': '3b77caf94bfc81fe'}
796408486653399041	2021-06-29T06:01:00.000Z	1409753749258604553	In LA pop idgaf this my life I’ll travel everywhere but ima come right back home 💪🏼❤️ 	{'place_id': '3b77caf94bfc81fe'}
31230414	2021-06-29T05:58:43.000Z	1409753173456130049	Wow... California really banned travel to Florida..	{'place_id': '97e336e1e3ed9e1e'}
1048619030632779776	2021-06-29T05:35:01.000Z	1409747210401501187	I have never travel by myself, so I don’t know how to tell my dad that I’m going to Miami🥴 send prayers 👉🏻👈🏻	{'place_id': '2feb76248fd9c581'}
1928295024	2021-06-29T05:16:27.000Z	1409742538014027777	 would aliens be so intelligent that if they could visit earth that they wouldn’t have to ?	{'place_id': '3b77caf94bfc81fe'}
53601790	2021-06-29T04:36:32.000Z	1409732491359911944	 Just posted our first video last Friday after having the channel for 0 years! This will be where we share vlogs on topics we're enthusiasts of! Video games, travel, theme parks, art. Working on our camera presence and hope to upgrade equipment one day!	{'place_id': 'b0b79caecef59fb5'}
1217972034174476289	2021-06-29T04:01:52.000Z	1409723770651041793	FULL OF RACCOONS AND RUSTING AWAY.WHEN OPEN, VISITORS OVER SIX FEET TALL WERE TURNED AWAY.Soviet Submarine Puts Queen Mary At Risk - InsideHook 	{'place_id': '01c060cf466c6ce3'}
2227635757	2021-06-29T03:52:36.000Z	1409721438316101633	my favourite thing about travelling is making all the new friends 🥰🥰	{'place_id': '0c2e6999105f8070'}
1365517314116886531	2021-06-29T03:49:42.000Z	1409720705789218818	HIZZAH I FLY TO DISNEYWORLD TOMORROW NIGHT	{'place_id': '59105f0e84773bdd'}
1368715374645026819	2021-06-29T03:45:39.000Z	1409719686896394244	California political BAN ON TRAVEL to states that aren't into legalizing all forms of sodomy and homosexual activity 	{'place_id': '3b77caf94bfc81fe'}
24845356	2021-06-29T03:36:14.000Z	1409717317823438857	I know your pain 🥴 I love my family/friends, BUT can you all please visit anywhere else other than LA 💁🏽‍♂️…. We TIRED!  	{'place_id': '3b77caf94bfc81fe'}
42994049	2021-06-29T03:34:41.000Z	1409716926994026500	 Sounds like you were up in Hollywood a lot… and you would barely even visit your friend right around the corner 🥺😢	{'place_id': '3b77caf94bfc81fe'}
1334481404	2021-06-29T03:13:52.000Z	1409711687687491584	So how free does this make you feel California? Smh!! This whole wokeism democratic state telling us where we can and can't go!! Wow!!! 	{'place_id': '7a615ec218d177f6'}
4725456236	2021-06-29T02:59:24.000Z	1409708046457053188	Disney World Is Celebrating Its 0th Anniversary by Giving Away Free Trips to the Park   	{'place_id': '3b77caf94bfc81fe'}
33845621	2021-06-29T02:39:57.000Z	1409703155550494731	Checking the valley. Beautiful 💜 ı      #トルコ #観光  #旅行#写真 	{'place_id': 'f227fd9a20f20e9d'}
552775896	2021-06-29T02:35:04.000Z	1409701924799016966	My flex is buying my sister a plane ticket to come visit me 😎	{'place_id': '3b77caf94bfc81fe'}
3039417575	2021-06-29T01:29:52.000Z	1409685515511554050	Karjakz vs Assassins universe🔥👑🏆Art,anime,booksThis universe is is beyond Epic,it’s a Titan.  Visit               	{'place_id': '3b77caf94bfc81fe'}
30476754	2021-06-29T01:22:07.000Z	1409683565281906690	  Look into it! I’m hoping it’s everything they’ve said it will be. Travel man travel man, yeah that’s me	{'place_id': '3b77caf94bfc81fe'}
4725456236	2021-06-29T01:17:15.000Z	1409682341514014724	These Are the 0 Busiest Airports in the World   	{'place_id': '3b77caf94bfc81fe'}
831864020	2021-06-29T00:24:15.000Z	1409669004067688453	 I don’t travel east lol	{'place_id': '3b77caf94bfc81fe'}
539526216	2021-06-29T00:21:39.000Z	1409668351064903683	Nice work!!!  I am sure they appreciates your visit and music!!!! 	{'place_id': '01c060cf466c6ce3'}
1099058876	2021-06-29T00:18:58.000Z	1409667672187363333	This is a disingenuous headline. It doesn't stop individuals but is saying people who are state employees going for official business or acting in an official capacity representing the state.	{'place_id': 'cf2d9d01f16e9bd4'}
3091474396	2021-06-29T00:13:37.000Z	1409666329401909250	Summer is in full swing with record home prices, low interest rates; there’s never been a better time to sell your home! Visit  now, learn how you can save thousands and get listed before the month ends!  	{'place_id': '3b77caf94bfc81fe'}
2462124488	2021-06-29T00:12:46.000Z	1409666111960870919	Kinda wanna buy a van, become a vagabond and travel the country	{'place_id': '2008b1cea656f14b'}
595991467	2021-06-29T00:09:45.000Z	1409665354163314692	Has anyone said if Mobius from   is the mobius that the thing Tony stark used to make time travel possible in endgame? Making mobius the variant of that person? Or am i trippin? lol  help 🤣	{'place_id': '3b77caf94bfc81fe'}
368489538	2021-06-29T00:09:05.000Z	1409665185413877764	When in town have to visit Lemmys Lounge - Drinking a Stone Buenaveza Salt & Lime Lager (0) by  at   — 	{'coordinates': {'type': 'Point', 'coordinates': [-118.3881531, 34.0907135]}, 'place_id': '1927193c57f35d51'}
1103450849370464256	2021-06-30T23:31:57.000Z	1410380616407781377	 Come visit me 😂soon	{'place_id': '0654b676d0359a31'}
