19346657	2021-04-25T20:41:42.000Z	1386420171707871238	Graphic Lit Get-together, April The Low, Low Woods, by Carmen Maria and Dani       @ The Wyndham Apartments 	{'coordinates': {'type': 'Point', 'coordinates': [-87.65562, 41.97758]}, 'place_id': '1d9a5370a355ab0c'}
750016934	2021-04-25T20:04:31.000Z	1386410817915035651	this man asked me out on a date & is having me make all the plans ?? i don’t think	{'place_id': '1d9a5370a355ab0c'}
108382114	2021-04-25T19:59:40.000Z	1386409596772880385	After I dun got my whole look assembled for the Hall’s wedding, I now have 0 other dresses in my cart that I’ve fallen in love with 😭	{'place_id': '1d9a5370a355ab0c'}
47059795	2021-04-25T19:50:47.000Z	1386407360126537731	A bit big for me but you get it. Cool late 0s early 0s s Strapless  Wedding Dress. Lace Bodice. Sheer skirt, fully lined. Satin cleavage with beautiful sequined, pearls and beads appliqué. 🤍. Tap pic for details. 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
471553761	2021-04-25T19:36:47.000Z	1386403837557227524	Wedding SZN 🔥❤️  	{'place_id': '1d9a5370a355ab0c'}
36779651	2021-04-25T18:44:03.000Z	1386390566691168259	Introducing the “Billy Hamilton meet me for a drink at Simone’s” challenge	{'place_id': '1d9a5370a355ab0c'}
33511235	2021-04-25T18:35:54.000Z	1386388515022331911	 God bless you! Thank you. Imagine if I took my scared ass to the gym! 😬	{'place_id': '1d9a5370a355ab0c'}
68312238	2021-04-25T18:18:52.000Z	1386384228644962307	I wish I had a man to take on a date 😫	{'place_id': '1d9a5370a355ab0c'}
2748404243	2021-04-25T17:10:00.000Z	1386366896325419011	Going to the gym isn’t the hard part having to be around so many people is 	{'place_id': '0335b0e33f0fb9cf'}
1598655084	2021-04-25T16:31:10.000Z	1386357123421032449	Today is my parents’ 0th wedding anniversary (also my dad’s birthday!) & while they have possibly the most loving & enduring relationship I know of, plz enjoy these pics of their wedding day, where  looks like she’s thisclose to a level ten, Carrie-style freak out 	{'place_id': '1d9a5370a355ab0c'}
755515945305698304	2021-04-25T15:54:41.000Z	1386347944371232770	I want to go on a date	{'place_id': '1d9a5370a355ab0c'}
418455076	2021-04-25T15:33:56.000Z	1386342721934200833	Anyone want to go on a date today? My friend is going on one and I’m jealous	{'place_id': '1d9a5370a355ab0c'}
1101620228209950720	2021-04-25T15:11:17.000Z	1386337022869184514	Congratulations! Karin & Philip, 0/0/0. These two have been together for 0 years! So happy to have you at Chapel in the Pines for this beautiful day!Become a part of our tradition. Chapel in the pines is a destination wedding venue. We have been hosting weddings for 0 years 	{'place_id': '8b351eeb91372dc7'}
269110631	2021-04-25T14:00:48.000Z	1386319282334801927	Get inspired! Create a unique look for your Special Day!          @ Stan Mansion 	{'coordinates': {'type': 'Point', 'coordinates': [-87.7080378, 41.9250382]}, 'place_id': '1d9a5370a355ab0c'}
1081175521	2021-04-25T13:56:12.000Z	1386318124610359297	 Typically love the Oscars - this year tho', just not connected to it, mostly just cuz I didn't go to the movies for a year. Hope Chadwick, Chloe, and Soul win. Probably just dive into Shadow and Bones and check Grace's tweets! 	{'place_id': '6af99a29bfae42a2'}
27019756	2021-04-25T12:53:30.000Z	1386302349363273728	Had the weirdest dream. I was at  wedding. Idk why I had this dream, me and this person don’t even talk lbs	{'place_id': '1d9a5370a355ab0c'}
327187383	2021-04-25T10:55:03.000Z	1386272537588518912	Had a super long day !! Went to a baby shower, a wedding, and still worked my over night shift. I’m exhausted. Good night/morning	{'place_id': 'bcc6dcc930424146'}
438968455	2021-04-25T05:22:07.000Z	1386188753677520899	That Porter set gave me so much life that I just dry scooped my preworkout and I’m going to the gym lmaoOoOoOO 	{'place_id': 'f04813ea26f51186'}
790886306	2021-04-25T01:02:06.000Z	1386123319234252801	I’m going to a restaurant opening with my husband that btw took hell to reserve and this mfer will not stop eating today 🤦🏻‍♀️	{'place_id': '1d9a5370a355ab0c'}
74817737	2021-04-25T00:04:21.000Z	1386108786314813441	Probably just finna go to the movies I refuse to be bored lol	{'place_id': '1d9a5370a355ab0c'}
