458861749	2021-08-24T21:53:38.000Z	1430287207349293066	  We are required to have vaccines for school, certain jobs, travel.  If all that is required is for all of us to do X and Y to get everyone back to normal.... Shit, I hate it, too ... But let's just do it.  Plus, this ain't no cold.  Lost friends & family already to this shit	{'place_id': '1c69a67ad480e1b1'}
53329978	2021-08-24T21:52:06.000Z	1430286822920310786	 You know what is hurting the US economy? The ridiculous travel ban for EU/UK!!  	{'place_id': '1c69a67ad480e1b1'}
4894526316	2021-08-24T20:31:35.000Z	1430266559788945414	I started getting all my Amazon orders sent to my grandma house so I can visit him more … I be chopping it up with my nigga	{'place_id': '1c69a67ad480e1b1'}
896496324480188416	2021-08-24T18:41:23.000Z	1430238824899166216	 clinic had a special visit today from an eager-to-learn group of 0st graders!  They learned where the clinic is located in the school and also got to check out our new fish tank!  A girl suggested an alligator as a clinic pet and it made  whole day! 😂 	{'place_id': '1c69a67ad480e1b1'}
36234143	2021-08-24T18:33:54.000Z	1430236944521437188	0st visit to Walk-On’s 🏈🍔⚾️🍤🏀       @ Walk-On's Sports Bistreaux 	{'coordinates': {'type': 'Point', 'coordinates': [-95.7745, 29.78733]}, 'place_id': '1c69a67ad480e1b1'}
67487321	2021-08-24T16:28:11.000Z	1430205304457793538	 Gotta do it for the fans 😜I'm not on Twitter too much so I always have to go back and see what's happening lol.But we're doing great!If anyone does travel we'd love to safely meet up. 😊	{'place_id': 'c484d6c5cd72beb0'}
27397381	2021-08-24T16:07:13.000Z	1430200029327892482	 Among the Top Options for All-American Bowl WR CHRIS MARSHALL❕Find out what the Trojans’s “Ace in the Hole” is, where he’ll take his final Official Visit, why Texas A&M may be hard to beat + much more 👀  via  ✌🏼	{'place_id': '7a41192a2879ee24'}
896924409927225345	2021-08-24T14:53:31.000Z	1430181482946080775	 Good, she AOC & her gang & Harris need to fly to Afganistan immediately & make sure all WOMEN & CHILDREN  are protected!	{'place_id': '00f2b6161655c5cc'}
261469386	2021-08-24T14:53:24.000Z	1430181454676434947	For more details visit our Facebook pages: Amazing 0.0 FM & Bread of Life Inc.	{'coordinates': {'type': 'Point', 'coordinates': [-95.366066, 29.745565]}, 'place_id': '1c69a67ad480e1b1'}
243048524	2021-08-24T14:37:30.000Z	1430177453478141971	 pls I love u and I will continue to visit u at work at random times &lt;0	{'place_id': 'cddb718d9306e2f9'}
2787187434	2021-08-24T13:07:02.000Z	1430154684090695687	POPS! We will be at Cat's Back tomorrow and Thursday to kick off the start of the semester. Visit our table to find out how to enter in our raffle 👀     	{'place_id': '07d9e38294c83000'}
54031997	2021-08-24T04:47:43.000Z	1430029026907893769	    Malcom at airport about to sign for Roma but ditches to fly to Barcelona holo card	{'place_id': '1c69a67ad480e1b1'}
1291805947950780417	2021-08-24T04:33:08.000Z	1430025358624141318	Don’t we all need a vacation.  	{'place_id': '6ef928bfe164fa3c'}
1167178440728109056	2021-08-24T04:01:00.000Z	1430017271586598915	A great big shout out to Urban Brew for graciously allowing us to host our 0st Meet & Greet of the year at their cute establishment. Yall visit from 0-0 for coffee, tea, & light bites right across from campus. 🍩☕🍵🧋🥯    	{'place_id': '13401945f5155003'}
1516238958	2021-08-24T03:03:15.000Z	1430002736204976137	*When I was in Houston I went to stop by to visit my Dad,Grandma,Grandpa & Cousin. ❤️ @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
38503865	2021-08-24T02:33:50.000Z	1429995333665296398	Went to go visit the Goat today..FOREVER MAMBA 🐍🏁 	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-08-24T00:49:44.000Z	1429969135547686915	I’m really trying to visit 🥳 	{'place_id': '1c69a67ad480e1b1'}
31628039	2021-08-24T00:28:02.000Z	1429963677516582915	 I’ll be disappointed if that number doesn’t hit 0k; and what’s the latest on the  Are they still not scheduled to travel? That’s a travesty! They are the fuel for Tiger fans in the road!!	{'place_id': 'bc39561011b12bc6'}
53329978	2021-08-24T00:15:14.000Z	1429960454365929478	 What about the US review of the travel ban? When is it due? 0+ months apart and 0 months without a single move from the Biden administration.  	{'place_id': '1c69a67ad480e1b1'}
1050214194564476929	2021-08-24T00:00:51.000Z	1429956837068136454	Please help your Pearland Lady Oilers Volleyball By clicking  or text GIVE to 0 and donating. Your donation would help us with travel and equipment. Thank you so much for your contribution.	{'place_id': 'bcb210d6cf34438a'}
2595233317	2021-08-25T22:36:49.000Z	1430660463357046784	I want someone who is willing to travel the world with me 😩 like be my adventure buddy baby	{'place_id': '1c69a67ad480e1b1'}
15448461	2021-08-25T20:30:00.000Z	1430628549615132678	 Too many gems that are the same level. So I’ll stick with mine as well. Go travel the area and try more Houston, Texas BBQ.	{'place_id': '1c69a67ad480e1b1'}
1406231994065903616	2021-08-25T19:18:37.000Z	1430610583687245828	Would i be rude if i said i don’t care what yall think about how EYE ME I like to travel???? Lmfaaoooo pls😩😩😩😩😩 let go	{'place_id': '1c69a67ad480e1b1'}
1406231994065903616	2021-08-25T19:14:30.000Z	1430609549669683203	What is travel years? 	{'place_id': '1c69a67ad480e1b1'}
2552803632	2021-08-25T19:05:59.000Z	1430607404773908489	I MISS MY NUGGETS SO MUCH 🥲❤️ auntie will be home to visit &lt;0 	{'place_id': '1c69a67ad480e1b1'}
3004912031	2021-08-25T18:39:08.000Z	1430600646433153030	 Huh, that's crazy, honey let's visit Afghanistan!.	{'place_id': '1c69a67ad480e1b1'}
2959038510	2021-08-25T18:06:21.000Z	1430592397701001220	Thank you for our AMAZING visit!  We love collaborating with  !    🤗🤗 	{'place_id': '1c69a67ad480e1b1'}
156136836	2021-08-25T16:58:53.000Z	1430575418369839109	It's only me but I'm seeing four shadows in the lightMy demons visit me every nightTo the most high I'm forever indebtedI know I gotta pay something, I know that day's coming	{'place_id': '1c69a67ad480e1b1'}
1180673252185841669	2021-08-25T16:58:38.000Z	1430575358093500419	Too all my Atlanta gents I will push my visit back ! 😢	{'place_id': '1c69a67ad480e1b1'}
2810435552	2021-08-25T16:44:51.000Z	1430571886015127557	nigga like me flew her private to my hometown of london england. 	{'place_id': '1c69a67ad480e1b1'}
2746237386	2021-08-25T15:43:10.000Z	1430556363470647298	It's  and children all over the country are settling into the new 0-0 school year! Visit the U.S. Department of Education's website to access resources for parents, students and educators alike.    	{'place_id': '1c69a67ad480e1b1'}
855081215963127809	2021-08-25T15:35:17.000Z	1430554380353343492	 Looks like an amazing place! I need to add that to my list of places to visit!	{'place_id': '1c69a67ad480e1b1'}
10730882	2021-08-25T13:32:44.000Z	1430523540550393857	Once I power through that I still have to physically drive myself to the doc's office. This is the smallest of the hurdles because I enjoy driving but it's still a hurdle. The monetary tax on my disability is currently 0.0 USD for the visit and ~0.0 USD for the gas.	{'place_id': '1c69a67ad480e1b1'}
10730882	2021-08-25T13:32:43.000Z	1430523536444166149	I have to pee in a cup to make sure I'm taking my meds. I have to pay for labs and an office visit. I have insurance so it's not a financial burden but along with the cost of meds it definitely is for some. What's hardest for me is the actual office visit.	{'place_id': '1c69a67ad480e1b1'}
