152372484	2021-11-02T19:56:28.000Z	1455624874123268099	Mama Bears first  visit! 🙌🏽  	{'place_id': '1c69a67ad480e1b1'}
760178672	2021-11-02T19:52:26.000Z	1455623855687487497	At da end of da day..IT’S Yo   0 TAKE CARE OF U,  regardless of WHO say what..EVERYONE IS NOT MEANT 0 TRAVEL YO PATH....           	{'place_id': '1c69a67ad480e1b1'}
760178672	2021-11-02T19:11:47.000Z	1455613628825100298	At the end of the day..IT’S YOUR RESPONSIBILITY TO TAKE CARE OF YOU..regardless of WHO say what..EVERYONE IS NOT MEANT TO TRAVEL YOUR PATH.... @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
227423074	2021-11-02T17:58:52.000Z	1455595277054877698	Just had the BEST cup of coffee from  …and they gave it to me for free ! Go visit their gorgeous coffee house in Houston to get your cup too !      	{'place_id': '1c69a67ad480e1b1'}
1215758095340769280	2021-11-02T17:29:11.000Z	1455587807427239942	Mark your calendars! The SWHS Safari players present Arabian Nights this Friday at 0 PM and Saturday at 0:0 PM and 0 PM. Tickets are $0 for students and $0 for adults. For details visit:  	{'place_id': '1c69a67ad480e1b1'}
967459460	2021-11-02T17:27:25.000Z	1455587361140744198	0’0 Chris Johnson (0/PG) will be taking an official visit to LSU this weekend.   	{'place_id': '1c69a67ad480e1b1'}
355222411	2021-11-02T15:56:41.000Z	1455564528046034952	Click the link in my bio or visit  to read my new blog post: What You Should Do if You Suspect a Pastor is a False Prophet… @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
194868605	2021-11-02T15:43:47.000Z	1455561284473212935	If you got kids or teenagers and need furniture in Houston come visit me at Rooms To Go in Pearland	{'place_id': 'bcb210d6cf34438a'}
25190937	2021-11-02T15:17:35.000Z	1455554688934465549	i’m about to fly to NY to walk  dog.	{'place_id': '1c69a67ad480e1b1'}
115105973	2021-11-02T14:32:56.000Z	1455543451391516673	It’s   Check  ( for the latest wait times at the nearest polls to you. To find information on the state propositions and your candidates, please visit:    	{'place_id': '1c69a67ad480e1b1'}
967353660	2021-11-02T13:44:05.000Z	1455531158448529413	 Good Morning from H-town! Hope y’all’s fans travel well cause it’s gonna be loud as hell tonight…   	{'place_id': '1c69a67ad480e1b1'}
1425743894	2021-11-02T13:38:16.000Z	1455529696465149961	Views from the shop 💖 New shipments of treasures everyday! Come visit us in person or online!       	{'coordinates': {'type': 'Point', 'coordinates': [-95.43627222, 29.73805364]}, 'place_id': '1c69a67ad480e1b1'}
3686645726	2021-11-02T13:31:05.000Z	1455527888023924757	Good morning 🌟, Happy, Happy, Happy Birthday week to you, truly better than a glass of wine, beauty that gets better with time, I'd say I could fly to see you, oh i remember I could fytcm, 🌟🌟❤❤😘😘🔥🔥🎂🎂🍸🍸🎁🎁🎉🎉 	{'place_id': '4c456186fb6d326e'}
16044062	2021-11-02T13:29:14.000Z	1455527422980415495	It's election day! Go vote!If you want to review  endorsements, visit:	{'place_id': '1c69a67ad480e1b1'}
1180673252185841669	2021-11-02T04:54:32.000Z	1455397894735937538	I just updated my tours on my  profile! Catch me in Philadelphia and Nashville soon. To pre-book, visit 	{'place_id': '1c69a67ad480e1b1'}
1039173071318462466	2021-11-02T04:08:25.000Z	1455386287297470464	i will be trying the McPoutine when i visit Canada	{'place_id': '3e82edc94d5c5ce1'}
406725054	2021-11-02T01:35:16.000Z	1455347745435308039	Tickets ON SALE‼️Magical Winter Lights is coming Nov 0-Jan 0nd. Experience a 0-acre larger-than-life Christmas light show, carnival rides and games, an interactive dinosaur area and lots of holiday fun for the whole family! Visit  	{'place_id': '1c69a67ad480e1b1'}
740252986547437572	2021-11-02T01:11:19.000Z	1455341720053374976	Why the fuck is everything 0fps as I walk into this travel stop	{'place_id': '7543692056063d2f'}
97737575	2021-11-02T01:01:52.000Z	1455339340528238593	Tomorrow 0:0 our visit with  on deadline deal. 	{'place_id': '1c69a67ad480e1b1'}
124318488	2021-11-02T00:24:34.000Z	1455329953193529345	 Need a travel companion? ☺️	{'place_id': '0120bae54df50356'}
1367138704507232256	2021-11-02T00:10:08.000Z	1455326323233202178	Get back to editing stuff tomorrow when I'm fully rested. Tight travel weekend but it was well worth it!	{'place_id': '1c69a67ad480e1b1'}
315237282	2021-11-02T00:09:13.000Z	1455326090130567169	Our news folks did a story on holiday travel & I recognized a familiar face  	{'place_id': '1c69a67ad480e1b1'}
43426475	2021-11-03T23:43:19.000Z	1456044350844989441	And baby's 0nd plane ride up to Missouri to visit Mimi and papa for the week of his bday.          @ William P. Hobby Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-95.27888889, 29.64555556]}, 'place_id': '1c69a67ad480e1b1'}
1133052044749737984	2021-11-03T23:42:32.000Z	1456044152261595141	Visit our newest exhibition “Icons from the Museums” by Carlos Vega Faúndez and take a journey through art history. On view.Gallery Hours: Mon - Sat | 0 am - 0 pm.           	{'place_id': '1c69a67ad480e1b1'}
405062755	2021-11-03T21:42:46.000Z	1456014013171654659	I’ve experienced too much trauma in Philly to ever move back. I will visit however many times as I’d like because I still have family there, but I’m never going back to live.	{'place_id': 'e589c1ec3b0b9d2e'}
1161632552584720384	2021-11-03T21:42:12.000Z	1456013868577091584	  Manager  is CLEARLY ready for the ‼️ Are you⁉️Make sure you join us‼️‼️‼️🗓Saturday, Nov 0️⃣⌚️0️⃣:0️⃣0️⃣ - 0️⃣0️⃣:0️⃣0️⃣Visit  to view our Online Course Selection GuideRegister in OneSource! 	{'place_id': '1c69a67ad480e1b1'}
827538882	2021-11-03T20:58:07.000Z	1456002773166743554	  San Antonio doesnt have much to see but probably the river walk. I would recommend to visit Austin which is probably an hour away ☺️	{'place_id': '1c69a67ad480e1b1'}
1551751501	2021-11-03T20:55:25.000Z	1456002097393061891	 Congratulations on your win! Please return New York to a place I want to take my family to visit.	{'place_id': '1c69a67ad480e1b1'}
2161743500	2021-11-03T20:38:08.000Z	1455997745345466382	  pack your bags, we’re planning a visit	{'place_id': '1c69a67ad480e1b1'}
99850479	2021-11-03T20:24:15.000Z	1455994250550816771	I Gotta Get My Body Right By The Next Spring Travel Season 🤦🏾‍♂️	{'place_id': '1c69a67ad480e1b1'}
55552850	2021-11-03T20:04:25.000Z	1455989260973191169	  Instead of having your staff arrange a visit, you showed up with a camera and pestered a staffer who doesn’t have the authority to let you in. Asshole move but I’m sure your idiot supporters will eat it up.	{'place_id': '1c69a67ad480e1b1'}
1266935601082896384	2021-11-03T19:50:35.000Z	1455985780405440512	It really is humbling to be able to travel between states handling business for my brand. I remember where we started with this and I’m just blessed to see how far we’ve come in such a short amount of time	{'place_id': 'bcb210d6cf34438a'}
3024843085	2021-11-03T19:46:35.000Z	1455984774330335233	 You best believe I’m hyped for the Houston visit  because you’re my favorite 🤩🎵	{'place_id': '1c69a67ad480e1b1'}
1364851595297640448	2021-11-03T19:22:30.000Z	1455978714387423237	 And satisfied I could  visit you and you can visit  me I have a 0bedroom 0bathroom home here in the Missouri City area	{'place_id': '798522f39f66d411'}
2373815161	2021-11-03T19:08:46.000Z	1455975257219678216	Nothing short of magic 🪄They told her she couldn’t get it covered but.... just pass me the penMy books are open for the remainder of the year. IG: theFranFine | for booking, visit  ✨ 	{'place_id': '1c69a67ad480e1b1'}
2672088223	2021-11-03T18:38:35.000Z	1455967659518988300	Ima take my sons skating Saturday after I visit my brother	{'place_id': '1c69a67ad480e1b1'}
310674982	2021-11-03T18:08:24.000Z	1455960063512879112	“My family is my first business.”Thank you  for the platform. Visit   today! Shop Local. Shop Quality! Shop BLCK.    @ BLCK Market 	{'coordinates': {'type': 'Point', 'coordinates': [-95.40316523, 29.54940186]}, 'place_id': 'bcb210d6cf34438a'}
21618273	2021-11-03T17:42:45.000Z	1455953611427622913	So happy that  didn’t see the Omni Berkshire as they had planned.  And, they reopened it! I cannot say how happy I am over this. Been staying there 0 years.  Great staff  	{'place_id': '1c69a67ad480e1b1'}
