317550098	2021-12-14T18:45:47.000Z	1470827375705403399	Lots of other puppies are currently in our care! Visit our website to learn more about our adoption process and view our available pets.  	{'place_id': '1c69a67ad480e1b1'}
1123783162977574912	2021-12-14T17:56:52.000Z	1470815065825853455	Enjoyed my visit with Principal Jones   	{'place_id': '4c456186fb6d326e'}
786611176780156928	2021-12-14T17:31:22.000Z	1470808647919931401	"Thanks to  and the Arts Action Fund. HHH had the opportunity to serve 0+ students with their educational outreach show, FLY to the Rescue.""Funded by the Arts Connect Houston Arts Action Fund"" MUSIC: DaisyMUSICIAN: Philip E Morris "	{'place_id': 'c7b527911412a784'}
2201138135	2021-12-14T17:22:56.000Z	1470806526118006798	This goes out to all the survivors of child sexual abuse. It’s a tough rode to travel but don’t you dare give up 💪🏾💪🏼💪🏼❤️❤️ 	{'place_id': '1c69a67ad480e1b1'}
32436941	2021-12-14T16:56:50.000Z	1470799955829096448	Bumped into my guy  at breakfast this morning and we immediately reminisced on our first meeting and his visit to speak at the airport where we first met. Such a humble and solid brother. 💯💯💯 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.38040432, 29.7384917]}}
345974036	2021-12-14T16:55:56.000Z	1470799731852984320	All I want to do is to live comfortably, travel around the world, try new restaurants, take pictures and be with one woman…	{'place_id': '1c69a67ad480e1b1'}
337349906	2021-12-14T16:52:49.000Z	1470798944380731395	 Go visit!! But forreal, European men are different. It’s hard to describe..but in a good way!!	{'place_id': '1c69a67ad480e1b1'}
20015688	2021-12-14T16:06:23.000Z	1470787262405390337	Looking for a FUR-ever friend? Our friends Pudhoe, Walker, Arby and Leeland have a reduced adoption fee thanks to Come visit them at 0 Almeda Rd. ❤️ 	{'place_id': '1c69a67ad480e1b1'}
1130436849598631937	2021-12-14T14:45:09.000Z	1470766818574929930	My family and I had a great time in Philadelphia for my official visit at The University Of Pennsylvania ❤️💙 	{'place_id': '1c69a67ad480e1b1'}
1341845927137579009	2021-12-14T13:53:18.000Z	1470753769164054529	I love seeing families travel together.	{'place_id': '1c69a67ad480e1b1'}
25292876	2021-12-14T12:45:51.000Z	1470736795184812032	   Congrats! Still need to visit the great state of Texas!!	{'place_id': '1c69a67ad480e1b1'}
266140880	2021-12-14T03:42:11.000Z	1470599974593474565	May have found the perfect Travel job	{'place_id': '1c69a67ad480e1b1'}
230966308	2021-12-14T02:49:24.000Z	1470586692763627522	I can’t believe I ever slept on travel nursing 😩	{'place_id': '1c69a67ad480e1b1'}
33641375	2021-12-14T01:18:18.000Z	1470563767071166474	Lol this man just like dream. You hear all the fans scream thats a travel on sengun. No that's the sengun typhoon 🌀🚀	{'place_id': '1c69a67ad480e1b1'}
575846926	2021-12-14T01:07:40.000Z	1470561090216108037	Dyvette just bought a bmw. We riding around in her car from now on *everytime* I visit	{'place_id': '1c69a67ad480e1b1'}
43524611	2021-12-14T00:03:26.000Z	1470544925297201152	. should visit the CoD national tournament qualifiers  👀	{'place_id': '1c69a67ad480e1b1'}
1186843880697798656	2021-12-15T23:30:27.000Z	1471261400643350533	congratulations calvin!!! proud of you brother & thankful for your time at RP…make sure that you come back & visit once in a while  	{'place_id': '004b5a825b5fa14b'}
1374525483371556874	2021-12-15T23:24:38.000Z	1471259937795977223	I pretty much live at work and visit home	{'place_id': '1c69a67ad480e1b1'}
14397711	2021-12-15T22:56:50.000Z	1471252943026499590	0th HPB visit during my  week. Glad I came.  and they had the store calendars (at  in Humble, TX)  	{'coordinates': {'type': 'Point', 'coordinates': [-95.276356, 30.006413]}, 'place_id': 'e589c1ec3b0b9d2e'}
359624930	2021-12-15T22:41:53.000Z	1471249178206818305	The Grinch came to visit today! He told me I was “Too Close”😂 Thank you  for the amazing luncheon.    	{'place_id': '1c69a67ad480e1b1'}
1350007500632948736	2021-12-15T21:51:08.000Z	1471236407758934024	 Went to visit a cousin and we ended up sucking each other’s dicks. I was 0, he was 0. That was the best hairy uncut dick I’ve ever sucked. He tried to fuck me but I was too scared of his big dick. I always regret not taking him inside me.  I swallowed his cum and his piss	{'place_id': '1c69a67ad480e1b1'}
