1192938416305868800	2021-05-24T23:14:05.000Z	1396967768822468610	    Midway Mania! 	{'place_id': '0fbeae8c65941000'}
707399194592595968	2021-05-24T16:51:24.000Z	1396871466688278529	These tips have helped me stay clear while wearing a mask during the pandemic. Hope this information was helpful! If you’re experiencing worsening of signs or symptoms please do visit a doctor or dermatologist. 	{'place_id': '3b77caf94bfc81fe'}
804715702712090626	2021-05-24T16:30:01.000Z	1396866083080966152	Hey everyone  good morning  just dropped a lil cool edit I did on my IG :ALLME0  should I drop it here as well???  What you think 🤔 let me know in the comments below it's a pic I took from my visit at   with me repping my fam my squad my team  jersey! 	{'place_id': '3b77caf94bfc81fe'}
51948241	2021-05-24T16:20:12.000Z	1396863613151875078	Please visit our website for more information about graduation and cap and gown pick up.     @ Calabasas, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.661, 34.1384]}, 'place_id': '575c6d4e1b73546d'}
843305013472518144	2021-05-24T16:15:48.000Z	1396862507675910145	Plus I Got The Mickey's Really Swell Coffee From Marceline's Confectionery During My Recent Visit To Downtown Disney At The Disneyland Resort!            	{'place_id': '3b77caf94bfc81fe'}
16923320	2021-05-24T16:14:17.000Z	1396862122882060289	Played this crazy game from the 0s “Oscar: The Film Stars Rise To Fame.” You travel around the board meeting directors, losing money, & being taken advantage of... all on the road to winning an Oscar! Lots of stuff to cringe at- very doubtful  would approve of today 	{'place_id': '3b77caf94bfc81fe'}
1396142292021374981	2021-05-24T16:07:08.000Z	1396860324251258884	Other meanings of the title resonated for Collins who thought of this devotional nightly project as a moonlighting job and to keep himself going he imagined himself on deadline for the morning newspaper. Make reservations to visit through May 0th. 	{'place_id': 'e83d71e042bbfcf7'}
1234268801820057601	2021-05-24T14:56:31.000Z	1396842554411212800	 fly to my room	{'place_id': '3b77caf94bfc81fe'}
134226948	2021-05-24T14:46:32.000Z	1396840042509783040	MEMORIAL DAY SALE🚨🚨Shop all our micro kinis now 0% off!!!! NO CODE NECESSARY! Don't miss out! Visit  @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
14963760	2021-05-24T14:37:04.000Z	1396837657833984002	  That’s fantastic. A great place to visit and work.	{'place_id': '2feb76248fd9c581'}
1624238545	2021-05-24T13:59:15.000Z	1396828141021065216	The  premieres this week, so I thought a visit to the   was in order. Located between  and  on the   	{'place_id': '07d9e384d5888004'}
940335062171648001	2021-05-24T13:42:49.000Z	1396824007895289856	Life is what you make it. Don't make excuses, make it happen. ✅•••If you're interested in our BNL Trucker hats please, feel free to visit:  🔥     	{'place_id': '3b77caf94bfc81fe'}
928665821811036161	2021-05-24T11:50:27.000Z	1396795727330701318	A SEAL Aviation tech enjoying the view in Hollywood Burbank  in Los Angeles, California. SEAL  is a mobile FAA certified repair station and is ready to travel to your fuel leak,  inspection,   or AOG situation.  	{'coordinates': {'type': 'Point', 'coordinates': [-118.358901, 34.202688]}, 'place_id': 'b0b79caecef59fb5'}
35079844	2021-05-24T09:39:50.000Z	1396762857149067264	 Is that Missy Elliot cause she looks good! Whenever you need original beats visit our website at 	{'place_id': '3134f9d2892d2685'}
35079844	2021-05-24T09:36:50.000Z	1396762102115672068	 I know that’s right cause it ain’t like our friends are celebrities! Visit us at 	{'place_id': '3134f9d2892d2685'}
35079844	2021-05-24T09:35:04.000Z	1396761659469799429	 My handle is  visit our website at 	{'place_id': '3134f9d2892d2685'}
35079844	2021-05-24T09:33:52.000Z	1396761357458886662	 I started with original Nintendo! Visit us at 	{'place_id': '3134f9d2892d2685'}
35079844	2021-05-24T09:32:27.000Z	1396761000376881156	 I hear ya, I’m working on getting new friends! Visit our website at 	{'place_id': '3134f9d2892d2685'}
35079844	2021-05-24T07:39:34.000Z	1396732591399575557	 I’m from Cleveland. Whenever you need original beats visit our website at 	{'place_id': '3134f9d2892d2685'}
778180669688143872	2021-05-24T06:08:26.000Z	1396709655657664512	With Runway it’s not 0 or 0, it’s 0 and 0. Go for less baggage and more travel with just a click!💃💫 Explore the collection at 👠      	{'place_id': '3b77caf94bfc81fe'}
2241794714	2021-05-24T05:08:32.000Z	1396694583090634754	 good or bad? I love the Bay Area. It was always a place yoo visit, eat great food, but can’t afford to live in (for me)	{'place_id': '7d2aec133a24b554'}
217688778	2021-05-24T05:00:47.000Z	1396692631103627266	Nature has healing energy. Always nice to come back to visit our pet turtle (amongst the squirrels and ducks).🥰 @ Averill Park San Pedro CA. 	{'coordinates': {'type': 'Point', 'coordinates': [-118.31050158, 33.7328361]}, 'place_id': '3b77caf94bfc81fe'}
28684544	2021-05-24T04:50:37.000Z	1396690073677086721	Yes, yet another post about PINS... Make sure to visit  for a plethora of gorgeous, fierce, campy pins (and other amazing stuff!) 💚 @ Hollywood, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.33150864, 34.10142871]}, 'place_id': '3b77caf94bfc81fe'}
28684544	2021-05-24T04:42:28.000Z	1396688021584596992	Visit  for your buttons! TELL THE WORLD THAT YOU ARE A SMART, HEALTHY PERSON WHO BELIEVES IN SCIENCE! Thank you  ❤️ 🤍 💙 💉 @ Hollywood, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.33150864, 34.10142871]}, 'place_id': '3b77caf94bfc81fe'}
4798948167	2021-05-24T03:54:29.000Z	1396675946086748162	  Been to that winery a few times. Great wines, beautiful chateau and great movie stuff too- go visit.	{'place_id': '3b77caf94bfc81fe'}
81252390	2021-05-24T02:33:13.000Z	1396655496216465411	I need a Delorean To help me travel back in time to set things right and do things the right way.	{'place_id': '3b77caf94bfc81fe'}
18003712	2021-05-24T02:01:47.000Z	1396647584354033664	Don't forget to visit your local industrial dance clubs 	{'place_id': 'e83d71e042bbfcf7'}
823048678155886592	2021-05-24T01:13:13.000Z	1396635361867145218	I am available now in Los Angeles, California, United States! To contact me, visit 	{'place_id': '38ea9782c8d83a4b'}
304007392	2021-05-24T00:26:14.000Z	1396623540728655876	  That’s what we did as kids. We would visit India for three months. My dad would stay for a couple of weeks and then go back to his job in the US and my mom would stay behind with my brother and me. And we would get pulled out of school early.	{'place_id': '3b77caf94bfc81fe'}
4725456236	2021-05-24T00:20:17.000Z	1396622040212275201	American Airlines Adds New Service To Give Travelers Their Own Airport...   	{'place_id': '3b77caf94bfc81fe'}
33007777	2021-05-25T23:55:34.000Z	1397340597204111361	THE VISIT. WHY ARE YOU SO UNDERRATED. Wtf.  	{'place_id': '3b77caf94bfc81fe'}
160713245	2021-05-25T23:38:57.000Z	1397336414316949507	Boys’ Lacrosse FINAL: LB Poly 0, University 0The Jackrabbits advance to the second round of the CIF-SS Division 0 playoffs. Poly will visit Temecula Valley in the quarterfinals on Friday. 	{'place_id': '01c060cf466c6ce3'}
729826357	2021-05-25T23:30:26.000Z	1397334273171107847	       @ Hollywood, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.33150864, 34.10142871]}, 'place_id': '3b77caf94bfc81fe'}
729826357	2021-05-25T23:29:11.000Z	1397333956337586177	      @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
19262339	2021-05-25T23:28:51.000Z	1397333874015817730	First casualty of no business travel for past 0 months: TSA precheck expired months ago	{'place_id': '3b77caf94bfc81fe'}
