424734206	2020-02-03T19:50:54.000Z	1224420013030797312	  Numbers are under reported.  Thousands dead and hundreds of thousands infected.  The travel bans are going to further china’s pain.  Second phase should have serious teeth for IP protection.	{'place_id': '3b77caf94bfc81fe'}
57805365	2020-02-03T19:30:39.000Z	1224414918067113984	 For more information visit the official website  or you can contact the office at info	{'place_id': '38bf3f5b8e273118'}
57805365	2020-02-03T19:30:20.000Z	1224414837058355200	 For more information visit the official website  or you can contact the office at info	{'place_id': '38bf3f5b8e273118'}
57805365	2020-02-03T19:30:04.000Z	1224414770524110849	 For more information visit the official website  or you can contact the office at info	{'place_id': '38bf3f5b8e273118'}
299938875	2020-02-03T19:23:10.000Z	1224413036062150657	Please visit my new website atYou can sign up for neighborhood news by entering your zip code. @ Seal Beach, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.082, 33.7593]}, 'place_id': 'd35feae19d268b09'}
35607939	2020-02-03T19:22:34.000Z	1224412885012500480	when mom and I want dad to fix the hot tub cause we miss it and I have friends coming to visit 	{'place_id': '56909099a1d44057'}
69184949	2020-02-03T19:15:58.000Z	1224411220272283648	Whats the fastest form of travel?	{'place_id': '3b77caf94bfc81fe'}
43840139	2020-02-03T19:09:33.000Z	1224409609483345920	 if you make group trips this year... I’d be a definite attendee ! I’m the black person you’d want to travel with! I commit ! lol	{'place_id': '59612bd882018c51'}
942040517445120000	2020-02-03T19:05:53.000Z	1224408686682157057	Beach day. I stayed at the hostel in Santa Monica and walked to Venice Beach and back, bought some aviator glasses from a vendor.      @ Venice, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.4589, 33.9913]}, 'place_id': '3b77caf94bfc81fe'}
946631863	2020-02-03T19:00:17.000Z	1224407277035302912	Its OPEN ENROLLMENT! At  we believe the early years are foundational. We give our early students an environment that optimizes each domain: spiritual, intellectual, social, emotional, & physical! Call (0) 0-0 or visit  to learn more. 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2877316, 33.964712]}, 'place_id': '3b77caf94bfc81fe'}
1184698225493598208	2020-02-03T18:59:46.000Z	1224407144688013314	" Aces High""Live to flyFly to liveAces high"""	{'place_id': 'e9b2c8beb5442ec5'}
248821715	2020-02-03T18:54:36.000Z	1224405844919492619	Improve your ankle mobility with these for better squats. -I got tight soleus and calves due to dancing on the balls of my feet for years. When it comes to Squatting for example, your knees should travel forward… 	{'coordinates': {'type': 'Point', 'coordinates': [-118.243, 34.0522]}, 'place_id': '3b77caf94bfc81fe'}
4463155993	2020-02-03T18:51:18.000Z	1224405016082927621	Each time I travel, there’s always something that makes me wanna go home lmao this shit is so booty cheeks	{'place_id': '3b77caf94bfc81fe'}
15359901	2020-02-03T18:50:24.000Z	1224404788638601216	Haha kpop safety brief!  @ Los Angeles International Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-118.40812325, 33.94246099]}, 'place_id': '3b77caf94bfc81fe'}
335970638	2020-02-03T18:46:25.000Z	1224403783943217152	🎉We have officially launched our “Be Counted Beverly Hills” Census 0 Campaign! ✅ For more info visit  or visit link in bio & scroll to ‘What’s New.’  	{'place_id': '741e9df4d2522275'}
3106984076	2020-02-03T18:45:31.000Z	1224403559430676480	🖤 this ring from capsuljewelry ✨i got sapphire because i‘m a September bb. Swipe to see how I styled it + visit my story to shop it. Comment your birth month, I wanna know!  … 	{'coordinates': {'type': 'Point', 'coordinates': [-118.443962, 34.0451975]}, 'place_id': '3b77caf94bfc81fe'}
15359901	2020-02-03T18:39:56.000Z	1224402152673677319	Let’s get this show on the road.      @ Los Angeles International Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-118.40812325, 33.94246099]}, 'place_id': '3b77caf94bfc81fe'}
1186859445386694656	2020-02-03T18:33:10.000Z	1224400449391951872	looking forward sooo bad- 0 days left until ima finally leave for LA!!     	{'place_id': '3b77caf94bfc81fe'}
1057019110012477442	2020-02-03T18:26:49.000Z	1224398851437498369	annelie_music is inviting all of you to an evening full of music and love as various musical talents serenade you and your loved ones with love songs in Wish USA's Music for the Hearts concert! Visit… 	{'coordinates': {'type': 'Point', 'coordinates': [-118.243, 34.0522]}, 'place_id': '3b77caf94bfc81fe'}
562210388	2020-02-03T18:26:11.000Z	1224398692213456896	SpiderMan 🕷 🌎😊🇺🇸🔜               … 	{'coordinates': {'type': 'Point', 'coordinates': [-118.3410945, 34.1016749]}, 'place_id': '3b77caf94bfc81fe'}
1016841814907629568	2020-02-03T18:22:08.000Z	1224397675568590853	  & The Forum - Los Angeles, Inglewood, CASat, Feb 0, 0 0:0AM text (0) 0-0 or visit our website 	{'place_id': '3b77caf94bfc81fe'}
975915220106330117	2020-02-03T18:18:48.000Z	1224396835793432576	Freehand lettering next to some Gs  don_laing. For bookings, visit  @ Los Angeles California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.34806824, 34.03791809]}, 'place_id': '3b77caf94bfc81fe'}
1001853737072144385	2020-02-03T18:12:32.000Z	1224395260710637571	As seen on the Streets of LA...                      	{'place_id': '3b77caf94bfc81fe'}
1131734211302346752	2020-02-03T18:04:38.000Z	1224393270198849536	This is the bus that I take to go visit my family. Leaves LA around 0:0pm but is usually delayed. Gets to SF at 0:0am. I usually sleep the whole way. Prayers to those on board 	{'place_id': '3b77caf94bfc81fe'}
217189096	2020-02-03T17:58:42.000Z	1224391778607882241	 Of course he's gonna visit the white house. He had to, It's not like the president knows where Kansas City is!	{'place_id': '3134f9d2892d2685'}
112522111	2020-02-03T17:57:36.000Z	1224391499434954752	Went to visit Nip a week ago today, and today I start my gig back in TV right near where he lays to rest, energy. 🎬	{'place_id': 'b0b79caecef59fb5'}
2294789534	2020-02-03T17:54:25.000Z	1224390701145784320	This year is already amazing. Cheers! ..........             @ Santa Monica Brew Works 	{'coordinates': {'type': 'Point', 'coordinates': [-118.4769363, 34.0252686]}, 'place_id': '59612bd882018c51'}
4891151952	2020-02-03T17:47:13.000Z	1224388887767699457	taking a train to visit my bestie in San Diego and a bitch is eggsited!!! 🍳💫🚅😊	{'place_id': '3b77caf94bfc81fe'}
295786557	2020-02-03T17:42:43.000Z	1224387756287320064	🙏🙏🙏 thank you Chris for dropping by the shop to pick up a  and  pop. We hope you enjoyed your first visit to our shop.   @ Tom's Model 	{'coordinates': {'type': 'Point', 'coordinates': [-118.24116, 34.045]}, 'place_id': '3b77caf94bfc81fe'}
16997713	2020-02-03T17:37:06.000Z	1224386341548412928	Little Tokyo. One of our happy places...          @ Little Tokyo Japanese Village 	{'coordinates': {'type': 'Point', 'coordinates': [-118.24004531, 34.04886369]}, 'place_id': '3b77caf94bfc81fe'}
952746693400829952	2020-02-03T17:32:50.000Z	1224385268469207040	Hello February! Entries are now open for our February in-store prize drawing! Visit a participating store to enter - no purchase necessary       	{'place_id': '0c2e6999105f8070'}
15359901	2020-02-03T16:39:59.000Z	1224371968981590020	Feel like I’m in a bubble.    @ Tom Bradley International Terminal - Los Angeles International Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-118.40959042, 33.94306005]}, 'place_id': '3b77caf94bfc81fe'}
222959095	2020-02-03T16:32:00.000Z	1224369957632262145	And since we are celebrating our birthdays at  we had a visit from The Child and two desserts! Babka 🤤 and cheese!! ⭐️⭐️⭐️⭐️⭐️ experience at Napa Rose!     	{'place_id': '0f2a8891d1546000'}
301265115	2020-02-03T16:27:31.000Z	1224368832468242432	 $0 for both in January. Elite status helps us avoid airline fees and we avoid hotels with any resort fees if at all possible.	{'place_id': '3b77caf94bfc81fe'}
24842264	2020-02-03T16:25:43.000Z	1224368378506203137	Tribeeee wants to come visit me in LA. I am so afraid!	{'place_id': '3b77caf94bfc81fe'}
37543091	2020-02-03T15:53:24.000Z	1224360243074752513	I just updated my tours on my TrystNA profile! Catch me in Los Angeles, Austin, San Antonio, Boise, and Bozeman soon. To pre-book, visit 	{'place_id': '3b77caf94bfc81fe'}
44804126	2020-02-03T15:34:01.000Z	1224355368769187841	     I think the Kansas City, Kansas Chiefs should visit the White House😳😜😂😂	{'place_id': '07dccb89e8f25a8f'}
248135355	2020-02-03T15:14:07.000Z	1224350359293841408	Why any dumbass would come to the hospital knowingly sick to visit a family member in the hospital is beyond me. Yes I said “ dumbass” because it fits	{'place_id': '3b77caf94bfc81fe'}
35800581	2020-02-03T15:05:24.000Z	1224348163172995072	Enter for your chance to win a visit to The Happiest Place on Earth!  	{'place_id': '70707114a9202b98'}
4725456236	2020-02-03T13:55:50.000Z	1224330658182418432	JetBlue Continues Caribbean Expansion With Flights to Guadeloupe   	{'place_id': '3b77caf94bfc81fe'}
54005440	2020-02-03T13:11:03.000Z	1224319388863619072	   For those who couldn't visit  over the weekend,  would like to give our viewers the chance to pay their… 	{'coordinates': {'type': 'Point', 'coordinates': [-118.38712525, 34.16369185]}, 'place_id': '3b77caf94bfc81fe'}
2247038695	2020-02-03T11:39:46.000Z	1224296417256099840	 Dang.After a year of hunting, I finally found a super-rare 0 stacker for my BIC changer. Hope you have another singles sale soon. Can’t wait to come visit!	{'place_id': '3b77caf94bfc81fe'}
14825577	2020-02-03T10:10:55.000Z	1224274053885620225	gotta know your travel songsBOOSIE - SEXY LADYJanet Jackson and Lupe fiasco also have travel songs 	{'place_id': '3b77caf94bfc81fe'}
145327264	2020-02-03T08:29:59.000Z	1224248654103367680	Coronavirus Travel Alert: A Global Public Health Emergency – via 	{'place_id': '5e68ca240e32025a'}
