9813642	2021-05-17T15:07:13.000Z	1394308530505584644	Found a new place. Got a weird feeling that George Lucas used to visit here when he was first writing Star Wars. No idea if it is true or why I thought this besides the fact that one if the buildings reminded me of the Sandcrawler and a statue reminded me of a Tie Fighter. 	{'place_id': '3b77caf94bfc81fe'}
61981184	2021-05-17T15:03:28.000Z	1394307586208407557	studio visit sweeties🌻thanks for coming  @ Amy Weber Design 	{'place_id': '59612bd882018c51', 'coordinates': {'type': 'Point', 'coordinates': [-118.49828594, 34.02959212]}}
28235772	2021-05-17T14:28:20.000Z	1394298745668341761	 Yeah I find myself using 0rd party controllers more than the joycons. But I pretty much keep it docked so It doesn’t get the abuse of travel.	{'place_id': 'b0b79caecef59fb5'}
222189121	2021-05-17T12:35:52.000Z	1394270442269986816	I'm working near Venice Beach all week so I'll be there for lunch, and see what is happening there with regards to cleaning it up since my last visit in December. Hopefully it's getting better now than what it was.	{'place_id': '3b77caf94bfc81fe'}
120595550	2021-05-17T11:13:27.000Z	1394249703945027588	DM Ink Merch👑To order visit         @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
735446406991740928	2021-05-17T07:20:02.000Z	1394190959080919049	                   Nah mate, your primary theory is just as plausible as any other prediction. God knows if I had the ability to time travel I’m gonna do exactly the same shit. If history is altered slightly so be it.	{'place_id': '3b77caf94bfc81fe'}
1713854730	2021-05-17T07:14:25.000Z	1394189545453752320	I wish my family had a house in LA so they can come any time and visit and I could live there .. lol but imma make happen one day ! Speaking into existence 🥰🤍	{'place_id': '3b77caf94bfc81fe'}
916069574	2021-05-17T06:33:44.000Z	1394179310144004097	 Houston foo I’m go visit you 🤣🤣	{'place_id': '3b77caf94bfc81fe'}
1109914243	2021-05-17T06:18:08.000Z	1394175381469491205	 Fantastic visit tonight!	{'place_id': '07d9ec777b886001'}
458961607	2021-05-17T05:59:42.000Z	1394170745379430403	   Perhaps it’s us from the future traveling through space / time with advanced technology and we know not to engage with ourselves. Is it plausible that we evolve as a species and learn to unlock the ability to travel via space/time?	{'place_id': '2da132a7bfebfc0c'}
343108446	2021-05-17T05:43:37.000Z	1394166698543091712	Wonderful surprised visit by  My brother from another mother!  @ Emporium Thai 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.44323, 34.05716]}}
1304101925197996033	2021-05-17T04:18:16.000Z	1394145215628255233	 nah im talking about the LA club but shit if AZ got cool money ill travel out there lol	{'place_id': '3b77caf94bfc81fe'}
1319246530994290689	2021-05-17T03:20:54.000Z	1394130782466318339	Warren Buffett quote on wall StreetFollow us  Visit: Link in bio @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
460284273	2021-05-17T03:20:27.000Z	1394130667575808002	 Awesome! Come visit Culver City! It's so nice now	{'place_id': '3b77caf94bfc81fe'}
18003712	2021-05-17T03:19:57.000Z	1394130543680262148	 Yes they are coming back, almost certainly not till 0 because of international travel, covid situation in Europe, and US work visa timelines, and probably at the same venues as before because they already have a tour outed, deposits paid, tickets sold etc.	{'place_id': 'e83d71e042bbfcf7'}
1051959925713203202	2021-05-17T03:06:52.000Z	1394127249167699972	Happy solar return to my baby sister  Here’s some throwbacks of our friendship over the years lol. Can’t wait to celebrate with you and the family when you visit next week! 💕🌺🌺🌺 	{'place_id': 'd71cc91cb651e322'}
757336110217342976	2021-05-17T02:18:43.000Z	1394115132326776832	Went to visit my old high school yesterday since they started to have flea markets every Saturday now🌿 	{'place_id': '07d9e39b9d082000'}
77060821	2021-05-17T01:48:44.000Z	1394107585154912259	There is a power outage in  is that normal we have been waiting for 0 hours and we don’t feel safe to travel	{'place_id': '3b77caf94bfc81fe'}
44649826	2021-05-17T01:46:51.000Z	1394107111676731392	Was fortunate enough to visit my mom for a few days; first time I’d seen her since Christmas 0 due to the pandemic. 	{'place_id': '0a7d513622d78001'}
41975980	2021-05-17T01:11:31.000Z	1394098219458744321	Perfect day to visit a 0 cabin in the hills 🍵 0 Multiview Drive ($0,0,0) Listed by  @ Hollywood Hills 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.328043, 34.126637]}}
911437633682759681	2021-05-17T01:09:16.000Z	1394097655433805825	 A fun road trip would be to travel to different minor league games across the country.	{'place_id': '0b93bc6a33455615'}
120896505	2021-05-17T00:53:29.000Z	1394093680919597056	 Lol love you too! I don’t miss DE outside of all of you guys. Imma prob come back to visit in a month or two.	{'place_id': '3b77caf94bfc81fe'}
92359562	2021-05-18T23:53:15.000Z	1394803300793348100	We got the travel trooper over here 	{'place_id': '3b77caf94bfc81fe'}
26328244	2021-05-18T23:29:30.000Z	1394797323884974083	    I returned back to work part time as a travel agent in March. I'm at reduced hours bc of how hard my industry was hit. I rely on  & through no fault of my own the incompetency of this gov agency (cont)	{'place_id': '59612bd882018c51'}
956973419035115520	2021-05-18T23:10:04.000Z	1394792431355260929	More amazing videos coming to the new travel channel (koala puffs travels) and back up canna channel (Anjela koala) very soon ❤️❤️ 	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-05-18T23:05:08.000Z	1394791190671740929	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
30797972	2021-05-18T22:43:11.000Z	1394785665729114118	Finally got a chance to visit  and found some sweet deals there. Thank you!      @ Fancy Free Liquor 	{'place_id': 'b0b79caecef59fb5', 'coordinates': {'type': 'Point', 'coordinates': [-118.33283, 34.18079]}}
718650212	2021-05-18T22:03:25.000Z	1394775657981255680	 Visit El Angel at sunset. Get artsy at Museo Frida Kahlo. Sample spirits at the Museo del Tequila y el Mezcal. Admire the street art in Roma. Dine on metro stop street food. Climb the Monumento de la Revolución. Chase color and history in Puebla.	{'place_id': '3b77caf94bfc81fe'}
1001853737072144385	2021-05-18T21:58:15.000Z	1394774359282044929	Spring Foliage.....                    	{'place_id': '59612bd882018c51'}
564658091	2021-05-18T21:54:02.000Z	1394773295778705418	Step into Made in L.A. 0! Book your free reservation now! Visit  for more details and information!📸          	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.44364819, 34.05947173]}}
569229676	2021-05-18T21:51:40.000Z	1394772702171332608	What's one of your bucketlist travel experiences?.I'm still pinching myself after riding in the clouds last month with  I can't emphasize how special it is to take a ride on a hot-air balloon 🎈A once in a lifetime experience    	{'place_id': '10de09f288b1665c'}
740936011874590720	2021-05-18T21:46:09.000Z	1394771314385342467	No crowd, no lines, no wait 😎Here’s a new way of air travel:You decide the departure date & time!And you only need to arrive at the airport 0️⃣0️⃣ mins before the flight.This is Air Taxi by Airacer! 👈Fly to over 0+ airports in the U.S.Inquire at  	{'place_id': '3b77caf94bfc81fe'}
398176796	2021-05-18T21:44:07.000Z	1394770803590275073	Mmmmmmm minor illusion and comprehend languages. We gonna look fab and travel 	{'place_id': '3b77caf94bfc81fe'}
2234042874	2021-05-18T21:33:18.000Z	1394768081793204225	I don’t even wanna visit Texas let alone live there . 	{'place_id': '3b77caf94bfc81fe'}
30240345	2021-05-18T21:22:54.000Z	1394765463805063172	Athens was one of my favorite places to visit. It was breathtaking from the views, history, people and the food. 	{'place_id': '1193edda55d6fa3d'}
825901296494354433	2021-05-18T21:14:39.000Z	1394763388069113858	Before my man quits i have to go pay him a visit so i can see him in uniform😏	{'place_id': '3b77caf94bfc81fe'}
430158095	2021-05-18T21:12:18.000Z	1394762794180902913	  Safe travels! Got your  maps and card with you??	{'place_id': '01c060cf466c6ce3'}
2371280527	2021-05-18T20:32:40.000Z	1394752821237411840	can I just travel trying every hot chicken place in existence... that’d be nice 😭	{'place_id': '1193edda55d6fa3d'}
1070156546099699712	2021-05-18T20:24:54.000Z	1394750865383194624	I am available now in Inglewood, California, United States! To contact me, visit 	{'place_id': '3134f9d2892d2685'}
1219322362740404224	2021-05-18T20:20:59.000Z	1394749881227517956	I just updated my tours on my wearetrystna profile! Catch me in Las Vegas soon. To pre-book, visit 	{'place_id': '3b77caf94bfc81fe'}
8644732	2021-05-18T20:06:12.000Z	1394746161974575106	 That’s why I did it! So I can travel!	{'place_id': '0c2e6999105f8070'}
92359562	2021-05-18T20:01:35.000Z	1394745000089452547	Send me your favorite tattoo artist. Looking for a little of everything and I’ll travel	{'place_id': '3b77caf94bfc81fe'}
913912367007784962	2021-05-18T20:01:18.000Z	1394744927272062976	 is hosting their virtual Lunafest on Saturday (0/0) at 0:0 PM. There will be with an amazing collection of short films by, for and about women, with proceeds providing direct service to women in need in  For tickets please visit:  	{'place_id': 'b0b79caecef59fb5'}
339102721	2021-05-18T20:00:44.000Z	1394744786326736896	⚠️COVID-0 TESTING⚠️Appointments are available for the 🆓 COVID-0 testing event at the McCoy Equestrian & Recreation Center, 0 Peyton Drive, on Wednesday, May 0 from 0:0 am to 0:0 pm.✅Visit  to make an appointment or call (0) 0-0. 	{'place_id': '5e68ca240e32025a'}
27751415	2021-05-18T19:54:57.000Z	1394743331461033984	I need to visit the east coast this year	{'place_id': '3b77caf94bfc81fe'}
120567538	2021-05-18T19:51:32.000Z	1394742467669282816	High Relief over the main entrance to USC•Los Angeles County Hospital. Sculptor: Salvatore Scarpitta      from a 0 visit. 	{'place_id': '67571a7baaa5906b'}
2234760798	2021-05-18T19:31:06.000Z	1394737325687468033	Republican Congressman who called rioters storming the US Capitol “a normal tourist visit” seen in photos barricading the House chamber doors against the “tourists”. So sick of these lying Republicans trying to rewrite history. 	{'place_id': '3b77caf94bfc81fe'}
16716641	2021-05-18T19:25:33.000Z	1394735930913611776	 I’ll be interviewing  about what it’s like to live in London and all about their travel site. This Thursday 0am PT, 0pm ET, 0pm BST  	{'place_id': '3b77caf94bfc81fe'}
1070156546099699712	2021-05-18T18:37:10.000Z	1394723754610098176	I just updated my tours on my wearetrystna profile! Catch me in Inglewood soon. To pre-book, visit 	{'place_id': '3134f9d2892d2685'}
913912367007784962	2021-05-18T18:35:15.000Z	1394723273141678081	Please visit the following link to access the meeting agenda and materials, as well as the instructions for viewing and public comment: 	{'place_id': 'b0b79caecef59fb5'}
3430079894	2021-05-18T18:01:26.000Z	1394714760864624641	Check out this reel for  we produced in Santiago de Chile last January. 🧑‍💻📲To watch the full video and credits visit:       	{'place_id': '3b77caf94bfc81fe'}
71380433	2021-05-18T17:32:13.000Z	1394707408182673411	I wanna go see Luke combs like idk if k have to travel but I HAVE TO	{'place_id': '20ba6fb3b1ee82da'}
71365246	2021-05-18T17:29:39.000Z	1394706764902273024	Join the Around the Hornet crew for the final episode of the Spring 0 semester as we check out some of the latest news in sports.To listen to the full episode, visit 🎙: Paul Schulz 	{'place_id': '2feb76248fd9c581'}
1102445611553480706	2021-05-18T16:59:13.000Z	1394699104597413889	fuck trynna book this flight to Japan asap but ion got anyone to go with. im just trynna go & see some cherry blossoms & go to the Disneyland in Tokyo, new Mario Kart World & just explore the beautiful country. I wish i was bold enough to travel alone.	{'place_id': '3b77caf94bfc81fe'}
1385239346001768450	2021-05-18T16:50:46.000Z	1394696978974404611	Map of Ayaxus! This is where our campaign takes place. What would you like to visit?       made using  	{'place_id': '741e9df4d2522275'}
132034234	2021-05-18T16:48:53.000Z	1394696505840136193	Need custom stickers? Unlock a free $0 credit from  when you visit:  	{'place_id': '6f24e28976abe656'}
3266380722	2021-05-18T16:45:21.000Z	1394695613720285184	     HAVE ZEN WILL TRAVEL! 🙏 @ Beverly Hills, California 	{'place_id': '741e9df4d2522275', 'coordinates': {'type': 'Point', 'coordinates': [-118.40033, 34.07347]}}
1358646635392233472	2021-05-18T16:17:41.000Z	1394688654606430212	I wonder if boebatty realizes if 0/0/0 had gone the way she apparently wanted, she wouldn't have gotten a seat at the big table. And any criticisms of the master would have resulted in visit from the proud boy thugs.	{'place_id': '122aef8d6840943b'}
314192280	2021-05-18T16:05:55.000Z	1394685689719967744	 Can we talk about how full the  was on Saturday heading to Santa Barbara and how amazing it feels to travel with y'all!I'm happy its getting back to normal and people are traveling by train 🥰🚅 	{'place_id': '3b77caf94bfc81fe'}
1238136738947760129	2021-05-18T16:04:45.000Z	1394685396974325762	I swear it’s only Americans who think like this. If I lived in Italy and traveled two hours to France...that’s not a getaway it’s international travel. So if I live in Texas and fly to Cali (both of which are bigger than France and Italy) It’s a getaway? 🤨😭 	{'place_id': '3b77caf94bfc81fe'}
854764931995979777	2021-05-18T15:22:50.000Z	1394674847620296706	Keep your AirPods safe from damage and sound with this durable and stylish glitter AirPods case.Visit our store today The Fix Northridge located inside Northridge Fashion center second floor by Forever0.or call us at 0 	{'place_id': '07d9d220ed085001'}
19172977	2021-05-18T14:58:07.000Z	1394668629405278209	Grabbed us a storytellers for Avengers opening weekend. Even if I can’t get my love (craftsman) I can at least still go visit the grand.	{'place_id': '3b77caf94bfc81fe'}
2765450028	2021-05-18T14:54:46.000Z	1394667784706031616	 Thank you for all the sweet smiling Hideki’s.  I really like the one feeding the deer. I  liked going to Nara Deer Park. So beautiful. Takashi’s mom’s final resting place is in Nara so we would go to the Deer Park when we went to visit her.  I hope you  r staying safe & dry💕💕	{'place_id': 'c1e1a49e92ce1ba0'}
1238136738947760129	2021-05-18T14:53:03.000Z	1394667352009035784	I travel all the time and hate these type of snobby remarks about traveling b/c as quiet as it’s kept it’s elitist Americans who act like this. In Europe got ex.,!traveling outside your country is as normal as a flight to Cali or Florida 😂 so in reality u need to catch up! 	{'place_id': '3b77caf94bfc81fe'}
962512364955250688	2021-05-18T14:14:41.000Z	1394657697237250056	Visit the link below to discover 0 Ways 0D Printing Technology is Positively Changing Our World. 🖨✨   	{'place_id': '3b77caf94bfc81fe'}
