1032820448	2021-03-25T21:06:13.000Z	1375192318135955461	 Wait... we can go if we go by train and recreate the first scene from the first episode of gossip girl.	{'place_id': '1d9a5370a355ab0c'}
1268086295307456514	2021-03-25T17:49:44.000Z	1375142872660504581	Just got a vn going out to all the foolish people from 0 guys😕	{'place_id': '1d9a5370a355ab0c'}
922005789195333632	2021-03-25T17:32:54.000Z	1375138635415228425	I see Philly got Hill now they'll go out and get Lowry and get in ECF ..just 👀	{'place_id': '1d9a5370a355ab0c'}
26097464	2021-03-25T16:18:31.000Z	1375119917566005249	 One of the benefits of going to school with the children of the Blue Book crowd:  typing wasn't taught at most East Coast prep schools.	{'place_id': '1d9a5370a355ab0c'}
22874123	2021-03-25T15:15:37.000Z	1375104089290334212	Reading about krispy kremes on here is making me want to go out and get a donut	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2021-03-25T14:17:28.000Z	1375089452788367366	That moment when you realise a 0 month supply of $0 worth of prescriptions didn't go out in this morning's dumpster being emptied to the Chicago dump 	{'place_id': '58d824d197abba8e'}
992037445817569280	2021-03-25T14:13:08.000Z	1375088364915937281	Finally going out this weekend for a ladies night , Friday and Saturday 🤟🏾	{'place_id': 'ecbe21c16e88f161'}
36779651	2021-03-25T13:52:20.000Z	1375083128461611008	My thoughts go out to this guy’s watch dealer and steak chef 	{'place_id': '1d9a5370a355ab0c'}
327481034	2021-03-25T05:10:16.000Z	1374951747689529344	Shorty tahm bout when we gonna go out lmfaoooo NEVER.	{'place_id': '1d9a5370a355ab0c'}
12364722	2021-03-25T04:37:38.000Z	1374943533711364103	I think the current season of  has just quietly been turning into the series’ best season. They’ve found a really nice balance between the human and the more absurd elements to end on something that feels more satisfying. Not a bad way to go out.	{'place_id': '1d9a5370a355ab0c'}
147780984	2021-03-25T04:32:10.000Z	1374942159401521155	I never really realized how casually I would go out of my way just to make people comfortable.	{'place_id': '918c943e88cc3e5d'}
28696538	2021-03-25T02:20:28.000Z	1374909016300781576	Y’all going out like Fatback or nah? 	{'place_id': '1d9a5370a355ab0c'}
226029161	2021-03-25T01:39:42.000Z	1374898757968465920	I don’t even wanna go out of town anymore now like wtf	{'place_id': '1d9a5370a355ab0c'}
916102712852443137	2021-03-26T22:07:13.000Z	1375570060585091074	Our condolences to our friends at  on the passing of Bill Antonion. A kind and wonderful man. We were honored to have him help with PA during our run hosting the Region IV basketball tournament from 0-0. Our hearts go out to his family. 	{'place_id': '701d2c3c209b77ab'}
1694065164	2021-03-26T22:05:01.000Z	1375569506513399810	I hate cars, taking a car to get groceries or to go to work or out to eat is unfathomable to me. But jesus christ man some people need cars to live, plus you know any money they raise through this will just be pissed away on anything BUT healthcare which we all desperately need 	{'place_id': '1d9a5370a355ab0c'}
911342718357471233	2021-03-26T22:01:58.000Z	1375568737307402247	Putting the rivalry aside my thoughts and prayers go out to your entire organization and his entire family  	{'place_id': '1d9a5370a355ab0c'}
2771887724	2021-03-26T21:23:31.000Z	1375559063120064514	s/o to celeste for going out last night but still answering my ochem question while drunk LOL fr a real one	{'place_id': '1d9a5370a355ab0c'}
2719324079	2021-03-26T20:16:15.000Z	1375542132396658693	 gonna’ go out on a limb here and say that you were THE 0st one to call this a few months back!! ⛈🏁🍻🏁⛈ 	{'place_id': '389e765d4de59bd2'}
