3040506896	2021-05-18T21:28:24.000Z	1394766846855897094	and everyone who goes to northwestern should visit anytime from noon to 0 throughout friday 😌 	{'place_id': '8b351eeb91372dc7'}
24656653	2021-05-18T21:05:29.000Z	1394761080593915905	Great piece from  on  from the  event I photographed last night at the  rooftop! 	{'place_id': '1d9a5370a355ab0c'}
861614733752979456	2021-05-18T20:25:57.000Z	1394751132040404994	0% OFF Special Event Jerseys has been extended 💰. Visit  to customize yours today. 	{'place_id': '1d9a5370a355ab0c'}
30129879	2021-05-18T20:19:15.000Z	1394749446303404032	 My parents aren’t even old fashioned ass Mexicans and they don’t want me leaving till I buy a house with a man, with or without a ring lmao. I’m chillin, traveling and eating real good on a daily basis. Chicago’s too expensive for me to leave soon anyway!	{'place_id': '1d9a5370a355ab0c'}
2329617859	2021-05-18T19:37:13.000Z	1394738865332789248	What is the maximum amount of time we think the average person would be willing to commute using transit include first/last mile travel time and transfers? I ask to help inform a transit investment proposal I’m drafting for metro   	{'place_id': '1d9a5370a355ab0c'}
14622461	2021-05-18T19:31:45.000Z	1394737491828162563	 I did travel to NY specifically for the ROH/NJPW show at MSG.	{'place_id': '1d9a5370a355ab0c'}
3220781870	2021-05-18T17:22:16.000Z	1394704905277952006	Join us Friday night as three C.S. Lewis Fellows who are leaders in the fight against human trafficking share how they combat trafficking and how we as disciples of Jesus can help bring freedom to those in bondage.For more info visit   	{'place_id': '1d9a5370a355ab0c'}
409468260	2021-05-18T17:22:09.000Z	1394704877100617740	Join us Friday night as three C.S. Lewis Fellows who are leaders in the fight against human trafficking share how they combat trafficking and how we as disciples of Jesus can help bring freedom to those in bondage.For more info visit   	{'place_id': '1d9a5370a355ab0c'}
632128647	2021-05-18T16:36:47.000Z	1394693461111103488	Go visit your sister, Moses! 	{'place_id': '1d9a5370a355ab0c'}
1136373342007697413	2021-05-18T15:21:40.000Z	1394674553910091779	It’s literally how I feel watching everyone buy designer things. I don’t understand the point. Half of it is ugly and/or uncomfortable to me but I’d break bread on traveling just for the peace of mind of having a smooth trip. Different folks different strokes 🤷🏾‍♀️	{'place_id': '1d9a5370a355ab0c'}
1136373342007697413	2021-05-18T15:04:56.000Z	1394670345496453122	 Yeah like I definitely get both sides but most options are between a hotel and Airbnb and I always base where I’d rather stay off what I’m tryna do and pick the cheapest option. Sometimes it’s Airbnb sometimes it’s a hotel that’s just the game of traveling 🤷🏾‍♀️	{'place_id': '1d9a5370a355ab0c'}
362047332	2021-05-18T14:54:52.000Z	1394667812849917966	New Haunted video posted Desoto House Hotel Ghost Hunt - Oldest Hotel in Illinois!  via      	{'place_id': '92e012db736d72c5'}
1299060961018552325	2021-05-18T14:40:18.000Z	1394664145367207938	Let’s travel. Let’s go baby!!! @ Worldwide 	{'coordinates': {'type': 'Point', 'coordinates': [-87.85775185, 41.98379489]}, 'place_id': 'f48e110211eee6ef'}
4724763920	2021-05-18T14:21:11.000Z	1394659332717953031	Just fabulous, Nick Cave is truly one-of-kind, every Chicagoan should visit!  	{'place_id': '1d9a5370a355ab0c'}
14294948	2021-05-18T14:08:26.000Z	1394656127212740610	Ironically, there’s a TFR where I’m supposed to fly to, to help the AF prepare to enforce TFRs. 🤦🏻‍♂️ 	{'place_id': '1d9a5370a355ab0c'}
1213872720523354112	2021-05-18T13:45:22.000Z	1394650322430304258	 It’s nice to visit.. but living there wasn’t it	{'place_id': '1d9a5370a355ab0c'}
30252520	2021-05-18T13:26:16.000Z	1394645513161613317	At some point, I do want to visit Hokkaido to visit Hakodate, Sapporo and Otaru (thanks Golden Kamuy!)Unless I have a lot of time, probably not going to visit the northernmost point. 	{'place_id': '1d9a5370a355ab0c'}
24738810	2021-05-18T13:23:55.000Z	1394644924214267906	I’m so scarred from having to get a Covid test before traveling to cover X Games in January, it coming back surprise positive, and having to cancel the trip that my test results before leaving for Dew Tour just came in and I can’t even look at them/feel like I’m going to throw up	{'place_id': '1d9a5370a355ab0c'}
23258054	2021-05-18T12:33:39.000Z	1394632270997250048	Excited to meet a founder I’ve been working with these past few months. He’s traveling to Chicago from Silicon Valley to meet me. Face-to-face matters. Not every day.  But definitely occasionally.	{'place_id': '8b351eeb91372dc7'}
535640223	2021-05-18T10:07:09.000Z	1394595404889698305	National Visit Your Relatives Day Observed annually on May 0th No Dirty Dishes Day Observed annually on May 0th Send an Electronic Greeting Card Day Observed annually on May 0th World AIDS Vaccine Day Observed annually on May 0th	{'place_id': '1d9a5370a355ab0c'}
111654358	2021-05-19T23:48:00.000Z	1395164364576014340	The Losers’ Club merch shore is officially up and running. 🎈I was lucky enough to model some of the super comfy and rad women’s tees for the shop. Plenty more to come! Visit the link over  to get your own! 	{'place_id': '1d9a5370a355ab0c'}
6328532	2021-05-19T23:40:14.000Z	1395162410407895041	 I damn near rear-ended a car because of this, lol. I think about it every time I travel that stretch of road.	{'place_id': 'c15ac33e0c4ceef6'}
