15281728	2021-12-28T20:09:35.000Z	1475921893257621515	 *if not I’m all about the red wine to help me chill the F out about this snow day goofin my travel plans 😫	{'place_id': '1d9a5370a355ab0c'}
188398596	2021-12-28T19:53:44.000Z	1475917906647134208	It is just garbage! Why are you paying so much to have it hauled away?  is Chicago's  Garbage Broker and will save you money!Call: 0-0-0 for a free assessment or visit  	{'place_id': '1d9a5370a355ab0c'}
22416579	2021-12-28T18:28:33.000Z	1475896469253201920	I'm watching BTS Bon Voyage S0 and I so badly want to go to Europe now. Or travel anywhere internationally, really. 😭	{'place_id': '1d9a5370a355ab0c'}
2462262230	2021-12-28T17:59:35.000Z	1475889180039335936	I enjoyed a morning at  including their current exhibition of art and artifacts related to the Great Chicago Fire.The second painting here, near the exhibit's entrance, I found particularly interesting and illustrative.Worth a visit. 	{'place_id': '1d9a5370a355ab0c'}
182993025	2021-12-28T17:44:15.000Z	1475885317953658892	Windy City… 🌃🌬⚡️⚡️..            🤎🤎🤎 en Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
49161297	2021-12-28T17:38:34.000Z	1475883889231073281	Listen to be traveling at the beginning of covid was a whole new world. No line, airports empty, flights $0, u had a whole row to yourself. That was love. They got they money back in BLOOD in 0 though 	{'place_id': '1d9a5370a355ab0c'}
790886306	2021-12-28T17:01:43.000Z	1475874617621364743	I’m sorry I don’t feel bad for people stuck at the airport bc why tf did you travel anyway ?	{'place_id': '1d9a5370a355ab0c'}
78399032	2021-12-28T16:55:05.000Z	1475872946350706691	Looking for plans in  or  this  Visit  for some ideas! 	{'place_id': '1d9a5370a355ab0c'}
380191960	2021-12-28T16:48:49.000Z	1475871367669207044	What’s even funnier is none of these countries will stop traveling to America either way. None of this matters and you are being lied to for greed. 	{'place_id': '1d9a5370a355ab0c'}
1032020152068526080	2021-12-28T16:37:49.000Z	1475868601202655235	It’s last day for  testing at Phalanx in 0. Visit us to know your status. 🙏🏿💯👩🏿‍⚕️👨🏿‍⚕️ 	{'place_id': '1d9a5370a355ab0c'}
1201744214901559297	2021-12-28T15:55:50.000Z	1475858035264397314	Iceland I will visit you one of these days 	{'place_id': '1d9a5370a355ab0c'}
38114378	2021-12-28T15:32:36.000Z	1475852190690467847	 Turo it’s awesome. It’s like air BB for cars use it whenever I travel	{'place_id': '1d9a5370a355ab0c'}
740959699	2021-12-28T15:23:00.000Z	1475849771558572043	Please consider The Unity in Community Foundation for an end of year donation. Visit  to make a donation.  Thank you.       	{'place_id': 'da64cd6b4a6e157c'}
3004167455	2021-12-28T14:27:38.000Z	1475835839796191240	Coming to skate and looking for a convenient place to park 🚘⁉️ Park right below the park  $0 for 0 hours must book online before your visit!  	{'place_id': '1d9a5370a355ab0c'}
38114378	2021-12-28T13:37:03.000Z	1475823108288393218	  I’m with you! Worked since I was 0 never had more than a couple weeks off. Took a new job in June and now that I’m getting older, have a family this new job will allow me to spend winter with them traveling and making memories.	{'place_id': '1d9a5370a355ab0c'}
15048470	2021-12-28T06:03:11.000Z	1475708888557232129	 It was good as well except it became clear I probably won’t visit my family in Oz until later next year than expected - because Covid	{'place_id': '1d9a5370a355ab0c'}
1357189902304243712	2021-12-28T05:20:26.000Z	1475698133665562631	Good ‘ol    	{'place_id': '5538a3aae89abc08'}
827968056	2021-12-28T04:58:04.000Z	1475692501923205121	I need a friend everywhere so when I travel I have someone to look forward to seeing ❤️	{'place_id': '1d9a5370a355ab0c'}
