1631208450	2020-05-26T22:12:02.000Z	1265405361399398400	This is what we’re all about, sports programming, mentorship and youth development. To learn more click the link in our bio or visit us at  @ Hines, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.83957, 41.86213]}, 'place_id': '422cf154312cd404'}
24792635	2020-05-26T21:58:22.000Z	1265401921101332481	 Just general unrest from not being able to visit the lake in months. It doesn’t even make any sense at this point and is 0% of why I live in this city. Grumpy!! 😡😡😡	{'place_id': '1d9a5370a355ab0c'}
20416636	2020-05-26T21:40:33.000Z	1265397437222576135	Using this great news as an excuse to post this photo from summer 0(!) after my sister arranged a set visit. Saw them shoot a couple scenes of America’s Next Top Paddy’s Billboard Model Contest and they couldn’t have been nicer hosts. Congrats!  	{'place_id': '1d9a5370a355ab0c'}
1182773762753777667	2020-05-26T21:38:32.000Z	1265396929422413826	Why do mass murderers end up in the police car, while black men die by police who are unarmed on the street? I'll never return back to this state to visit. How awful!   	{'place_id': '1d9a5370a355ab0c'}
2737103060	2020-05-26T20:42:06.000Z	1265382726963736580	Miss Maria is one of the brightest stars in our building, I will miss her greatly as my afternoons will not be the same without a visit from her:) All my love and best wishes to you in your retirement!! 	{'place_id': '227d358f6ed8d29e'}
847831266640580609	2020-05-26T20:17:20.000Z	1265376496274866176	 Do you travel to Illinois..😁	{'place_id': '6b745382f2cdbb67'}
177189652	2020-05-26T19:43:52.000Z	1265368070350127104	Visit our website to see our featured book series “Travails”—each book in the Travails series employs a different narrative and visual strategy to examine life in the former Soviet Union and related themes including… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.67703578, 41.88728594]}, 'place_id': '1d9a5370a355ab0c'}
742043463244382208	2020-05-26T18:56:56.000Z	1265356261316575241	  No one is asking you to stand it. Just don’t move/visit countries where we support equal rights for all and that’s it.	{'place_id': '1d9a5370a355ab0c'}
100122680	2020-05-26T18:26:07.000Z	1265348504886657026	Back to my fev jungle but still cannot find my fev plant &gt;.&lt;             … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.66920933, 41.98677289]}, 'place_id': '1d9a5370a355ab0c'}
2440447610	2020-05-26T18:05:59.000Z	1265343440461627395	  Yup. She finna visit folks and then make up with Issa	{'place_id': '1d9a5370a355ab0c'}
