256833348	2021-02-22T02:04:26.000Z	1363670957009813505	 That’s great as long as they don’t have to travel any further than their walkway I guess... ¯\_(ツ)_/¯	{'place_id': '1d9a5370a355ab0c'}
2391832531	2021-02-22T02:01:26.000Z	1363670203234672640	 Not traveling and no live music are 0 things I miss the most.	{'place_id': '1d9a5370a355ab0c'}
9116332	2021-02-22T01:39:21.000Z	1363664643164667904	  I would actually pay to visit this	{'place_id': '1d9a5370a355ab0c'}
59681252	2021-02-22T00:59:37.000Z	1363654646737350657	Have you ever made socks? Check out my new sewing tutorial ! Link in my profile or visit Sew Anastasia on YouTube! @ Sew Anastasia 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.67823696, 41.88775809]}}
1281715002995605508	2021-02-22T00:32:01.000Z	1363647697912291336	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
1428719406	2021-02-23T23:14:55.000Z	1364353070721867776	Need Food? Visit HOPE's MOBILE PANTRY tommorrow February the 0th   0st Come/0st Served. Corner of Iowa & Mayfield. Please feel free to share this. This is not a hand out it is a hand up just to help any one. 	{'place_id': '1d9a5370a355ab0c'}
750048802162221058	2021-02-23T23:06:34.000Z	1364350971711692800	Nu$Ent and G0G Productions are in business travel unlimited who need videos films documentaries and movies   @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
21030624	2021-02-23T23:02:56.000Z	1364350057462571010	      Thanks Ed! You know I made a point of including  hotels but my editors wanted the focus to be on domestic travel.	{'place_id': '1d9a5370a355ab0c'}
1281715002995605508	2021-02-23T22:50:32.000Z	1364346935155523584	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
95509406	2021-02-23T22:41:11.000Z	1364344583778402306	 sharing updated travel guidance from  	{'place_id': 'ed888f00de07aa3a'}
1295397642193772544	2021-02-23T22:27:03.000Z	1364341027646111747	 All Trump had to do January 0,0Activate DPA for PPE and testing kitsTold every American to join n like, WWII and wear a mask.Told Mitch & Nancy he wanted stimulus/employment/bridge loansBanned international travel and required 0 week quarantineHe did none of that.	{'place_id': '1d9a5370a355ab0c'}
1295397642193772544	2021-02-23T21:59:55.000Z	1364334198434246658	 Is there a link between people traveling/vacation and coming home and testing positive for Covid?	{'place_id': '1d9a5370a355ab0c'}
874613729853394944	2021-02-23T21:25:40.000Z	1364325577512083459	💰Mary E. Smith Foundation - Excellence in Science & Medicine Award + The Karen Lewis CTU Excellence in Science Award;💰 Future of STEM Scholars Initiative (FOSSI)🔎 Visit  for a link to our most recent scholarship alert 	{'place_id': '1d9a5370a355ab0c'}
1281715002995605508	2021-02-23T19:26:52.000Z	1364295681679196160	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
225719042	2021-02-23T17:57:54.000Z	1364273292530634759	 Damn you traveling like that....let me go book a few more trips	{'place_id': '003cc2276dfcaca4'}
67112261	2021-02-23T15:33:29.000Z	1364236946621534210	Online ordering now available from  Visit your favorite vendors here:   @ Chicago French Market 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6407245, 41.88402084]}}
1358893571793973250	2021-02-23T14:38:46.000Z	1364223178407628800	Mega Shake Tuesday!!!!Visit Us today 0am to 0pm for your protein packed and delicious shake!     	{'place_id': '07d9cd8bf2080000'}
775395058526875648	2021-02-23T13:57:07.000Z	1364212698913865730	 I signed up for a credit card that gave me airline lounge access because I was traveling so much ... 🤨	{'place_id': 'c8b021ffd0c94ffc'}
22822577	2021-02-23T13:22:34.000Z	1364204003115098116	 Who cares about Spain, tho	{'place_id': '49ecb21afc709bea'}
125799259	2021-02-23T08:15:24.000Z	1364126699676401664	I’m Not Sure What’s Helping me. These CupCakes or Traveling. 💆🏾‍♀️	{'place_id': '1d9a5370a355ab0c'}
2762573561	2021-02-23T07:26:52.000Z	1364114486165196801	 SAME let’s go time travel rn	{'place_id': '1d9a5370a355ab0c'}
783433534149103616	2021-02-23T06:24:39.000Z	1364098828123709440	  If we are going to need proof of a negative COVID test to travel, than so should the illegals crossing our border.  Biden is encouraging illegal activities, and should be implicated in the illegal activity.	{'place_id': '5ededd7234419286'}
28052666	2021-02-23T06:22:54.000Z	1364098390783643648	 When are you coming to visit northwestern?	{'place_id': '1d9a5370a355ab0c'}
736897568	2021-02-23T05:53:23.000Z	1364090961920471040	A good ass travel 😭 	{'place_id': 'f1dfa58974449052'}
295323004	2021-02-23T05:35:17.000Z	1364086406071599106	“If I was a bird, just doing regular bird things, no WAY would I stay in Chicago for the winter. I’d go to all those cool places all those other guys fly to.”  -not meSometimes the dumbest statements are the smartest ones.	{'place_id': '1d9a5370a355ab0c'}
31180179	2021-02-23T05:28:20.000Z	1364084656384188420	     You're my favorite judge on the show. Can't wait until we can travel again and we can check out your restaurant.	{'place_id': '1d9a5370a355ab0c'}
203586892	2021-02-23T04:19:48.000Z	1364067409301286912	I want to start traveling and going on trips i feel like i don't really do anything anymore	{'place_id': '1d9a5370a355ab0c'}
196318879	2021-02-23T04:02:08.000Z	1364062963955617794	 There’s a few places but Chicago is pretty large, if he’s ok with traveling, he might be able to find something.	{'place_id': '1d9a5370a355ab0c'}
196318879	2021-02-23T04:01:27.000Z	1364062792555315203	 So you’re comfortable traveling in the city cause I saw that Hampton Social is hiring for a manger.	{'place_id': '1d9a5370a355ab0c'}
230909673	2021-02-23T02:57:15.000Z	1364046635588804608	 Travel	{'place_id': '9458deb79984da4e'}
215863878	2021-02-23T02:33:24.000Z	1364040633267159041	This Saturday, February 0th, we will host a blood drive at Marist High School, 0:0am-0:0pm. To schedule your lifesaving blood donation, please visit     	{'place_id': '07d9d35c99488003'}
1212167728527630336	2021-02-23T01:18:48.000Z	1364021858568462340	 &  . Two  fragrances and products Coming Soon!! Visit us at  	{'place_id': '0335b0e33f0fb9cf'}
2926397153	2021-02-23T00:45:36.000Z	1364013506970976260	 Omg yes, I can't wait until we can travel travel again.	{'place_id': '1d9a5370a355ab0c'}
62951951	2021-02-25T23:33:26.000Z	1365082506349977602	  Congratulations  . Looking forward to meeting you when you visit  .	{'place_id': '47fe07f1c6b38dbd'}
1352785037817688067	2021-02-25T22:01:25.000Z	1365059352055406600	All travel baseball and softball teams.  click on our team and you'll see our instructors in baseball and softball.  Some of the best and the logo on Dr Anthony itzillo who developed base	{'place_id': '1d9a5370a355ab0c'}
1029793559363416068	2021-02-25T21:14:18.000Z	1365047493738684419	ASK me anything travel-related and you may see your question answered in the next Course Charted  💌Subscribe now &gt;&gt;  so you don’t miss the latest happenings and news in the travel sphere and the best  / tips!  ✈️ 	{'place_id': '1d9a5370a355ab0c'}
1288585377419128832	2021-02-25T21:12:06.000Z	1365046941420302344	The  is traveling to all three  high schools this week! Here are some photos of our visits to Proviso Math and Science Academy and Proviso East. Next stop: Proviso West! 	{'place_id': '07d9db54e4c83000'}
1707389216	2021-02-25T20:44:43.000Z	1365040050560528390	Ramblers travel to Leo Friday night at 0:0 . Streaming info here: 	{'place_id': 'f16f37294392e394'}
1029793559363416068	2021-02-25T20:39:11.000Z	1365038657984335872	                                                 So nice Linda, I can see why you love it!! 💙Here’s a photo of my happy place form an incredible staycation in  at the  Grand! The view exceeded all expectations!! 😍 	{'place_id': '1d9a5370a355ab0c'}
1030613119117275137	2021-02-25T20:14:18.000Z	1365032393413918728	Mfs Always Tom Bout They Wanna Move Out Of Chicago And Move Right Back & If They Don’t Come Back To Move They Ass Be Coming Back & Forth To Visit	{'place_id': '1d9a5370a355ab0c'}
106010466	2021-02-25T20:01:19.000Z	1365029127183618060	Sox fans  dont  go  games! Hey Cubs fans shut up ! Sox fans qre traveling 	{'place_id': '1d9a5370a355ab0c'}
73008977	2021-02-25T19:56:29.000Z	1365027912324423686	    Yay congrats Rachel!! Can’t wait to come visit you with  ☺️✨	{'place_id': '1d9a5370a355ab0c'}
1281715002995605508	2021-02-25T19:25:37.000Z	1365020141017251851	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
732615008035733504	2021-02-25T17:59:05.000Z	1364998363947524099	If you missed the opportunity to give, it’s not too late! Partner with Victory Outreach and help us reach hurting people through your generosity: Text VOCHICAGO to 0 or visit  and click the online giving link. 	{'place_id': '1d9a5370a355ab0c'}
28631855	2021-02-25T17:28:14.000Z	1364990600244846592	Visit 	{'place_id': '1d9a5370a355ab0c'}
15586046	2021-02-25T16:58:56.000Z	1364983228763881472	This month Eric Williams is one of 0 New Legacies  featured in  BHM campaign. Visit  to learn more!    	{'place_id': '1d9a5370a355ab0c'}
2227730094	2021-02-25T16:48:34.000Z	1364980619919450113	More green!!!Get ready! Our design, your design, you name it!Order today. Visit us or call us.0-0-0      @ Inkyourwear 	{'coordinates': {'type': 'Point', 'coordinates': [-87.80321, 41.83291]}, 'place_id': '49ecb21afc709bea'}
66127289	2021-02-25T16:36:05.000Z	1364977479748907008	Chacha needs to visit ♥️ 	{'place_id': '1d9a5370a355ab0c'}
1285289544959643650	2021-02-25T15:54:45.000Z	1364967076977328135	Colombia is def on my travel list.	{'place_id': '1d9a5370a355ab0c'}
40450439	2021-02-25T13:28:18.000Z	1364930220999004167	Great to visit & shop with everyone! Always appreciate giving us a shout out!    	{'place_id': 'eb7b63633846877b'}
240929418	2021-02-25T12:43:52.000Z	1364919040179924992	I had a dream I was at the airport getting ready to travel to Japan and I woke up still in Chicago 😭	{'place_id': '1d9a5370a355ab0c'}
497653723	2021-02-25T12:12:46.000Z	1364911210509045764	You know what I truly miss about a regular high school basketball season? Actually going out and scouting opponents live in person. I will NEVER complain again about traveling wherever on a random weeknight to watch high school basketball.	{'place_id': '1d9a5370a355ab0c'}
84918128	2021-02-25T10:39:16.000Z	1364887681742868484	 I’d love to visit Sweden but he plans to be back in London by the summer	{'place_id': '1d9a5370a355ab0c'}
475338727	2021-02-25T10:36:28.000Z	1364886975887650816	'We've bigger worries than Covid – we're hungry': Cubans long for the return of tourists' | via  	{'place_id': '5b217454f4bd5f04'}
358219188	2021-02-25T04:20:10.000Z	1364792276841545731	A sunrise I’d wake up for 	{'place_id': '57ac88aefcd20988'}
73078744	2021-02-25T03:03:29.000Z	1364772981604552711	A quick visit to Chicago. 👣    @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
787706570620694528	2021-02-25T02:34:41.000Z	1364765731209019395	Wear a mask so I can visit him pls 	{'place_id': '1d9a5370a355ab0c'}
210659293	2021-02-25T02:14:03.000Z	1364760538841022466	 Nope All That Money Going On A Trip Though	{'place_id': '1d9a5370a355ab0c'}
304804041	2021-02-25T01:43:03.000Z	1364752740124135435	 Come visit	{'place_id': '1d9a5370a355ab0c'}
1192542953543282690	2021-02-25T00:06:31.000Z	1364728444395917319	T-0 Starbucks! Come Visit and Grab Your ☘️ Irish Cream CB ☘️ 	{'place_id': '07d9f810ee881001'}
