183240470	2021-10-04T01:37:54.000Z	1444839159735140355	 Everyone in and around Hilton Head dailies golf carts. Yet this seems like as good a reason as any to go visit my college roomie in Bluffton.	{'place_id': '1d9a5370a355ab0c'}
1902060901	2021-10-04T01:30:43.000Z	1444837354435452929	 I’m an emergency room doctor traveling with my elderly mother. Gate L0B at ORD awaiting delayed flight 0 to BTV, on 0/0/0.	{'place_id': '1d9a5370a355ab0c'}
14927223	2021-10-04T01:11:59.000Z	1444832639362478086	I have settled in to the new air travel dynamic. I'm okay with the stricter, succinct in flight covid protocol but not so much with the direct to weasel marketing. Take a chill pill  	{'place_id': '47fe07f1c6b38dbd'}
155969136	2021-10-06T22:56:20.000Z	1445885666303299588	Carve out some time for spooktacular fun next Wednesday at 0pm because we’re pumpkin carving! Don’t miss out! 🎃For more info and to secure your tickets visit  @ The Irish Oak 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.65521, 41.94608]}}
1355182002140536832	2021-10-06T22:09:39.000Z	1445873917344763904	So amazed of the architecture in Chicago! Definitely a place to visit many times        @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1019116318782566401	2021-10-06T22:06:48.000Z	1445873200387133450	 Well we *are* the perfect city to visit for architecture! :P	{'place_id': '1d9a5370a355ab0c'}
17014087	2021-10-06T21:36:21.000Z	1445865536089296906	Good advice to all ARMY traveling to LA.Also...who knew  was a fan? 🤣🤣🤣 	{'place_id': '6af99a29bfae42a2'}
847461033941712897	2021-10-06T21:18:20.000Z	1445861004160782341	Congratulations to our Campus Visit Raffle winners! Make sure to schedule your visit and take a tour, who knows you might our next raffle winner.  	{'place_id': '1d9a5370a355ab0c'}
1017609245330739201	2021-10-06T20:56:40.000Z	1445855551875948545	 at least you have virtual interviews!! i had to take out a loan for traveling 😭	{'place_id': '422cf154312cd404'}
3082134751	2021-10-06T20:10:14.000Z	1445843865684955140	Please visit our website to register!  	{'place_id': '1d9a5370a355ab0c'}
1369484797	2021-10-06T19:48:09.000Z	1445838309318541312	At the top of my list when I visit! Can hardly wait!! 	{'place_id': '0fb8d7b7e21d86a5'}
1328027178949365761	2021-10-06T18:38:17.000Z	1445820726208991242	I’ve been determined to up my traveling game and swag. Looking good, feeling good while I travel has become necessary. So now I pack a little more than what I used too. I hate feeling unprepared and I already forgot my sweatshirt and pair of jeans. 🤦‍♀️	{'place_id': '1d9a5370a355ab0c'}
1328027178949365761	2021-10-06T18:38:10.000Z	1445820695858999302	Traveling with Chef is always fun and easy. His masters is in History so it’s amazing how much of the same things we enjoy to do together.	{'place_id': '1d9a5370a355ab0c'}
