2021-07-12T16:21:27.000Z	1414620934208724997	On one hand, it’s cool billionaires are pushing boundaries of space travel and innovation. On the other hand, an ego contests & tourism biz to charge people $0k to joyride space feels odd amid an assassination in  war in  protests in  etc. 	{'place_id': 'bceb8153865c4a49'}
2021-07-12T16:05:40.000Z	1414616959094861824	My favorite cousin came to visit! ♥️ 	{'place_id': '01a9a39529b27f36'}
2021-07-12T15:59:49.000Z	1414615488668254212	About to leave for Atlanta going private today...making memories always!*Visit  today to become apart of the Collective! A Magnificent Monday to you all! @ Teterboro Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-74.063, 40.849]}, 'place_id': 'f78118884b101a8b'}
2021-07-12T15:34:36.000Z	1414609144284385286	We're in the final days of the  Adarre is a sheep and goat's milk cheese from the Basque Country with creamy, buttery, and nutty flavor notes is the  of the day! Visit us to receive one. 	{'place_id': '10a6dc2e4656b002'}
2021-07-12T15:30:54.000Z	1414608210342912009	 didn’t Trump cut Cuba off????? Just wondering cause last time I check Obama was letting Americans visit there (tourism!) But you want  to talk about this now.	{'place_id': '002e24c6736f069d'}
2021-07-12T15:16:38.000Z	1414604619653816322	Studio wall. Who wants to visit?           @ Manufacturers Village LLC 	{'coordinates': {'type': 'Point', 'coordinates': [-74.209953, 40.779528]}, 'place_id': '858cec499f8adba6'}
2021-07-12T15:07:11.000Z	1414602243555352577	I travel a lot and I write reviews. I stay away from writing negative ones or complaining unless it is egregious. On this occasion bc the hotel was costly and the list of things wrong was long I took some time and wrote a review. Today I got this email. 	{'place_id': 'ebbd168611073cb8'}
2021-07-12T15:06:34.000Z	1414602087892242437	My current mood right now.    @ The Points Guy (TPG HQ) 	{'coordinates': {'type': 'Point', 'coordinates': [-73.99327761, 40.73698469]}, 'place_id': '01a9a39529b27f36'}
2021-07-12T14:57:22.000Z	1414599773546483714	Do not wait for other people in order to travel!Book that flight. Stay in that hotel. Eat in that restaurant. Travel solo and enjoy the fruits of your labor on your terms! 	{'place_id': '01a9a39529b27f36'}
2021-07-12T14:43:17.000Z	1414596229825187843	Are there any recommendations for food and things to do on the Big Island of  and I are going there for our       	{'place_id': '27485069891a7938'}
