47569229	2020-05-04T19:00:23.000Z	1257384598062891011	Can We Travel Back?: Ghosts of Miami - Von Kaiser (Album Review)  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
987914449	2020-05-04T18:52:35.000Z	1257382633639731205	Thought before I get to some music on my last full day in  I’d visit  at mardigrasworld 0  @ Fairway Market Upper East Side 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.95258, 40.77805]}}
1131561722035212288	2020-05-04T18:46:22.000Z	1257381070640726016	Sleeve | Slim-Volume  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.000988, 40.720882]}}
98450948	2020-05-04T18:33:56.000Z	1257377941006270464	 Thanks but I think I’d rather actually travel there, when that is like a conceivable thing again	{'place_id': '011add077f4d2da3'}
4101011248	2020-05-04T18:33:39.000Z	1257377870500028418	“Surprise your Mom with an original painting” in collaboration with  🤍 Paintings are on display on  💙💙Visit and find the best gift for your Mom 🌷| “Lagoon” Series 0”x0” made with… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
260610596	2020-05-04T18:28:45.000Z	1257376637613637632	 Yeah,  just haphazardly places everything so I offered to visit and help spruce it up. I randomly placed everything too but made it work. I thought I wouldn’t have patience waiting a day for things to be built, but it’s oddly therapeutic. Love it.	{'place_id': '7c09539af94ab80b'}
234434646	2020-05-04T18:24:23.000Z	1257375535417700357	"Visit  for large oversize rugs and wide gallery rug runners..Shown here is a beautiful Savonnerie Design Chinese Style Weave Oversize Carpet 0′0″x0′0″..""Buy Your Rugs Where Rug Stores Buy… "	{'place_id': '9a770e2f6d6e1451', 'coordinates': {'type': 'Point', 'coordinates': [-73.81226, 41.00325]}}
1250886840862810112	2020-05-04T18:22:17.000Z	1257375008634142720	The safest countries in the world. I’ve been to New Zealand 🇳🇿, Denmark 🇩🇰, Canada 🇨🇦 and Czech Republic 🇨🇿. What’s your safest country?  	{'place_id': '011add077f4d2da3'}
17470695	2020-05-04T18:16:23.000Z	1257373522789310464	Israelis now allowed to visit grandparents, but no hugs or kisses	{'place_id': '011add077f4d2da3'}
1131106556	2020-05-04T18:12:01.000Z	1257372426469597189	Today we stay home, and tomorrow we will travel together again. ❤📷 Caro Des Bons Plans  - NYCTT @ Brooklyn, New York 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}}
3317653701	2020-05-04T18:10:00.000Z	1257371919042609152	    I visit with cops regularly (neighborhood meetings) and have friends that work there. So to repeat: you don’t know a damn thing and you are seriously embarrassing yourself with this. I’ll make sure to tell my lawyer neighbor and VP in corp banking that we live in a shithole. 🙄	{'place_id': 'b046074b1030a44d'}
355340601	2020-05-04T18:09:34.000Z	1257371809973927936	I deadassss might have to travel to the Bronx for the only tattoo supply place open rn lol I don’t wanna wait until Friday for my needles	{'place_id': '011add077f4d2da3'}
14229846	2020-05-04T18:09:19.000Z	1257371744618364929	"We're honored to have one of our products featured in today's ""Mother’s Day Gift Guide: The Best Travel-Related Jigsaw Puzzles"" roundup on forbes!⁠⠀⁠⠀[This puzzle and many other amazing items available via link in… "	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.97202929, 40.7014247]}}
222106950	2020-05-04T17:46:54.000Z	1257366103715655682	 What's the difference when it comes to this virus? The virus came over here on flights. They had travel bans and people still were taking flights.	{'place_id': '01a9a39529b27f36'}
3393387226	2020-05-04T17:38:05.000Z	1257363886279450630	This necessary change ensures essential workers can continue using the subways safely during these difficult times. Visit  to learn more.    	{'place_id': '011add077f4d2da3'}
1133868863542747136	2020-05-04T17:22:45.000Z	1257360028182417411	Incredible shine and gloss. Visit  for more information about our services and call or text 0-0-0 to make your appointment    … 	{'place_id': '65b4760a2b411e11', 'coordinates': {'type': 'Point', 'coordinates': [-74.2809599, 40.88611]}}
9927392	2020-05-04T17:16:40.000Z	1257358494103154689	Last call on books for awhile. They will ship tomorrow and the 0x0 prints will ship separately. 🖤🤗🖤 To order, please visit my website: PASSWORD: writeme… 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}}
2466545628	2020-05-04T17:10:58.000Z	1257357061136023553	🚨I'M PAYING YOU TO LOSE WEIGHT🚨 That's right, you heard right!!!LOSE THE MOST WEIGHT, WIN  $0 OFFICIAL ENTRY RULES BELOW👇🏾0. VISIT: 0. FILL OUT your wellness profile0. MUST… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
14507319	2020-05-04T17:10:47.000Z	1257357015921426434	 It has more key travel.	{'place_id': '79398a5193a34acb'}
27771819	2020-05-04T16:58:31.000Z	1257353926443257859	Clinic visit today with G! All is fairly solid considering! 🙏🏼🙏🏼❤️❤️ One day at a time... 	{'place_id': '116fa6ab5f550003'}
949357452650270720	2020-05-04T16:44:21.000Z	1257350364128522243	In honor of Teacher Appreciation Week, not only did my student make this beautiful sign, but she also went to visit the place where our love of learning and first grade journey began.♥️ Thank you for the pictures, Eva!😁   	{'place_id': '07d9db6c79085000'}
2371010514	2020-05-04T16:41:30.000Z	1257349646407610368	Keeping Central Park graffiti free with the help of  is why it continues to be a wodneful place for all New Yorkers to visit. 	{'place_id': '0fc294493a15e000'}
22990826	2020-05-04T16:38:03.000Z	1257348778014711811	 I feel like it fell off sophomore year - I went back to visit a lot tho.	{'place_id': '01a9a39529b27f36'}
2466545628	2020-05-04T16:33:43.000Z	1257347685889257481	I’M PAYING YOU TO LOSE WEIGHT‼️That’s right. You heard me right!!!!!LOSE THE MOST WEIGHT, WIN $0OFFICIAL ENTRY RULES BELOW:0. VISIT (your Distributor’s website)0. FILL OUT your… 	{'place_id': 'fa3435044b52ecc7', 'coordinates': {'type': 'Point', 'coordinates': [-74.1849, 40.7352]}}
715140152	2020-05-04T16:33:11.000Z	1257347550945959939	Now I know how the barista feels.  Do I first meet with the video visit (Starbucks app order) or the roomed patient?	{'place_id': '8da7a05f8a865e05'}
