2020-09-28T17:17:25.000Z	1310629702185504768	I am available now in New York, New York, United States! To contact me, visit 	{'place_id': '011add077f4d2da3'}
2020-09-28T17:11:48.000Z	1310628288298209282	Security risk& a security risk for flight get THEIR passports take our planes away from them do not let them fly to MOSCOW with Moscowmitch & all criminal coconspirtors and family in AIRFORCE0 	{'place_id': '01a9a39529b27f36'}
2020-09-28T17:02:35.000Z	1310625965442306057	 You’ll always be my first call if I’m putting a crew together - for work, for travel, for trying some weird new food. Always!	{'place_id': '011add077f4d2da3'}
2020-09-28T16:47:50.000Z	1310622256981303297	Now available: South Island Art x Klaï Studio: Unique travel-inspired gifts for her  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
2020-09-28T16:20:40.000Z	1310615416860016640	Episode 0! A milestone! In this episode, we have a great conversation with Adaeze Iheobi  about her love for travel, her Petroleum Engineering career and long distance love in these times! Like/Review/Share/Subscribe     	{'place_id': '00c39537733fa112'}
2020-09-28T16:04:19.000Z	1310611302663049223	In my defense I’ve blocked 0️⃣ people on Twitter. I hope Rodrigo can fix the hate in his heart and adopt a less toxic way of using Twitter. No room for that unproductive, aggro shit on my feed. Go visit a shrink 	{'place_id': '01a9a39529b27f36'}
2020-09-28T15:42:49.000Z	1310605895139819521	I’m actually shocked mine is still in great condition because it’s literally been my work and travel (carry on) bag for some years now lol. I be loading that thang up 😂 	{'place_id': '01a9a39529b27f36'}
2020-09-28T15:16:57.000Z	1310599383847755780	 I pre-ordered my 0tb ssd expansion and i also have an 0tb usb 0.0 in my One X and a portable 0tb for when travel. Wait is killing me...	{'place_id': '00c55f041e27dc51'}
2020-09-28T15:14:02.000Z	1310598649458708482	New York is always a good idea. Pack a 💼 and book your next stay  💕 Link in bio.  📷  ..        	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.00330812, 40.74225696]}}
2020-09-28T15:01:46.000Z	1310595563885395969	Americans think their life is hard till they visit a third world country :))	{'place_id': '00c39537733fa112'}
2020-09-28T14:22:16.000Z	1310585621870641153	Perfect for a small pup and versatile enough to replace your purse.        @ New York, New York 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
2020-09-28T14:21:14.000Z	1310585362771857408	 Ukrainian Airlines (UIA) recently announced the resumption of JFK service via KEF With a 0-0ER aircraft. Would you take a 0+ hour long haul trip on a 0?      	{'place_id': '01a9a39529b27f36'}
2020-09-28T13:35:50.000Z	1310573935965212673	Head over to  to find out the location 😊😊😊What other rooftop should I visit?? @ Brooklyn, New York 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}}
2020-09-28T13:12:06.000Z	1310567964773625856	Once I get this money I think im going to just travel with BTS again 💕 but this time I will make my career out of it	{'place_id': '00c39537733fa112'}
2020-09-28T12:54:16.000Z	1310563476155269121	Travel vid is up 	{'place_id': '00c39537733fa112'}
2020-09-28T12:51:10.000Z	1310562697335930882	 I rode the A from 0th / Inwood to Beach 0th all summer, 0x/week on average and it was awesome. 0% mask compliance and always plenty of room. Travel times were usually 0am-Noon on the way out, 0-0pm in the way back.	{'place_id': '002e24c6736f069d'}
2020-09-28T12:25:47.000Z	1310556310090518529	Mmm yes, getting a new speedo delivered in October when there is a quarantine preventing travel to anywhere warm....another bold move, me.	{'place_id': '00c39537733fa112'}
2020-09-28T12:05:33.000Z	1310551217710399488	Since October is just around the corner I paid a visit to Trinity Church Cemetery & Mausoleum. 🖤 💀 @ Trinity Church Cemetery 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.01195263, 40.70847866]}}
