2020-02-17T19:22:58.000Z	1229486412694740993	I’m the only person I know who isn’t thirsty to travel	{'place_id': '01a9a39529b27f36'}
2020-02-17T19:21:13.000Z	1229485975467941888	Can never get bored of New York  with        @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-02-17T19:17:19.000Z	1229484993946292230	 I guess but I travel quite a bit - over 0k miles last year	{'place_id': '00c39537733fa112'}
2020-02-17T19:16:17.000Z	1229484730321641473	  Bruh lets alt travel	{'place_id': 'b046074b1030a44d'}
2020-02-17T18:58:31.000Z	1229480261148192770	Home away from home😊...               … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.97410319, 40.7642779]}, 'place_id': '01a9a39529b27f36'}
2020-02-17T18:51:25.000Z	1229478474894708741	The new catalog from our shoot in New York is finally  and in stores.           @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-02-17T18:51:12.000Z	1229478421266337792	" ...Take the expressway and travel to the end. There is a town called Entebbe. Nga it has ""Mob"" Planes! Just board one. Good Luck!"	{'place_id': '94542c3c348faf28'}
2020-02-17T18:47:09.000Z	1229477402256068610	Noodles don’t travel well	{'place_id': '01a9a39529b27f36'}
2020-02-17T18:44:55.000Z	1229476837589475334	“I Don’t See Nobody But It Ain’t My Vision, I See What It Is & You Are What It Isn’t” -Fabolous •       … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
2020-02-17T18:35:57.000Z	1229474583272677377	Took advantage of the Fed  holiday schedule to visit  renew my membership and soak in the mild weather exploring the outside grounds.  show underway. I must confess, I am quite partial to  💕 	{'place_id': '0fbeae4d2414f000'}
2020-02-17T18:29:40.000Z	1229472998622662661	 Anywhere the mta will take me but also willing to travel within north jersey as well	{'place_id': '23a06e5cc6d83009'}
2020-02-17T18:28:41.000Z	1229472753121665026	One block from my office and I’m telling you  could be a dangerous place to visit, but I don’t care. From doughdoughnuts to  lobster and my favorite  there is something for everyone and this… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98846, 40.75874]}, 'place_id': '01a9a39529b27f36'}
2020-02-17T18:26:15.000Z	1229472141525037056	After a great visit, I’m truly honored to say I have received my first scholarship offer from Lafayette College!     	{'place_id': '36aa8c1293d4ce43'}
2020-02-17T18:15:00.000Z	1229469310822895617	 I love Jammie Dodgers. My best friend brings them back to me whenever she comes home to visit	{'place_id': '00c39537733fa112'}
