"username","score"
"test",0
"richmintz",-2.10001700380957
"_BayBey",-0.762660741337642
"steketee",-0.206163367958179
"MelissasCurls",0.274529010196603
"TheRealSefmoney",0.343931565405077
"Salamancajr80",-0.623322621711815
"amywilson",-2.01309997493451
"jamesrapoport",-0.767549060002296
"Anna_Paolicelli",0.863632699297132
"MaheshNYCTO",-0.672941195489835
"PremierPolitics",-0.413736441731738
"Tradledee85",-1.43709022228876
"CarriageCavalry",0.15200917300979
"ahumblebragg",0.243013997874314
"JuliaPHawthorne",-1.94136690575697
"Kmort22",-1.2485681716937
"SmithCoGifts",1.34076855102516
"Ms5Ft9",-0.150607362801952
"NYPD123Pct",1.46147623220508
"alextarquinio",0.965992474232373
"saribethrose",-1.65071574337986
"EverythingAybar",-0.236608831694263
"nagelbagels",-0.0424951555949701
"HarrisonIsBrick",-2.35599215089403
"JsSzrk",-0.971556724049149
"Sminky108",0.666652317920911
"mikefenton2",-2.35001865779856
"BQDiocesePress",1.09612615562004
"honey2thebee_",-1.29903154268113
"advicenyc_",-0.433282201962821
"avshaq",-0.703956024956815
"AsherHBaron",-0.503371324305464
"TaraLeibman",-0.59368974350836
"SimplyLisaaaa",-0.332999113477647
"goodbyetosleep",-1.18749231433209
"ChinaBlack81",-1.20378417933139
"jim_delora",1.96449602715299
"MaketheRoadNY",-1.78875005201941
"jschildkraut80",-1.04031421532805
"MALEA_NJ",-0.934249256453179
"bliv94",-1.66100224945152
"ay_aasia",-1.58795188430731
"She_SoBlunt",-1.47251773631811
"AntonioILiranzo",-0.108050500587811
"ph0ssy_jaw",0.230149991801338
"SherryPoppinsNY",-2.09254651709692
"torystiletto",-1.23513945132276
"WadeWilsonWorld",-1.3805035222198
"JustAVerySmith",-0.996918184891876
"True2Jaysvision",1.07631110770198
"DrCarlosWesley",0.208008665107745
"RenewedProdigal",-1.2068160076054
"IreneBlancoMD",-1.81854756847039
"sunflowerblock",-0.980572706134638
"NY713281",1.21835016588375
"MisGuidedGenXer",-1.63697936716933
"thatchicktrice",-0.535297478922849
"frothanalysis",1.2897159210592
"lawcls",-2.44327498955533
"justhek1",-0.855326333388733
"KimepoosWorld",-2.07420417637443
"CreditGuruGG",-0.311375885538466
"theotherbullock",-0.220065254174333
"ENewton_RPP",-2.30806523839785
"LegallyMaxed",-1.3016112760827
"DJVicLover",0.203844902314518
"elvindominici",-0.268359931821477
"CEWDKCC",-0.310066586118156
"SugarSketch",-2.28160198245154
"VoteMorgan39",1.09073981759861
"Metapoeta",0.408771219113199
"Kevinjb1",0.39609517902135
"_Lanparty_",-1.62537798338199
"Bridiekar",1.36358031166867
"SalliePermar",-1.74784322643037
"livelikelefty",0.871089926266591
"YouCanVan",-0.978292280977297
"lilyanalopez1",-0.21406940885793
"L4Leo___",0.0341317716868304
"kelly_sweetgirl",0.407316985913615
"njmamma24",-0.12419163675186
"nps_clemente",-0.853404945704215
"b3retta_",0.416528065271201
"MaritzaChanV",0.207096088462355
"GordonKesi",-1.57183013210853
"DjMorenoNJ",0.413862124613656
"REALMattMaran",-1.6804662447494
"Cryssie618",-1.13057399667864
"lifeinapan",-0.0753925111124763
"HarriHursti",0.645846254788441
"Legoodlife_",0.201910256838489
"DeltaMuZeta1950",-0.510337024400718
"deejayfrankie",-1.76201664697745
"TDP_NYC",0.257745487091238
"TheAndreBeckles",-1.58988755250308
"MakeupByStevenT",-2.09418535020338
"BweeksB",-1.65440540252431
"espresso77",-1.14437641860957
"DigitalGirlInc",-1.21980079934197
"ESTJAE",-1.1169821265141
"bigtallgayguy",-1.17787760230882
"LJRLQ666M",1.04965196990933
"DanielGreff",-1.16544657991477
"kingchey_",0.488277100876703
"gspitzner",-1.65909329368566
"annabel_ross",-0.966037216650852
"SchwartzRobin",-1.80711008981088
"DrDaveAllen1",-1.53820352935684
"DanielHarris08",-0.168996051613105
"OneCheer",-2.11485774395336
"WESTCOASTSUMA",-2.26951007080878
"Coachkcrypto",1.05696750462371
"marcomc2",-1.359618554135
"nycfoodscape",-1.6016615048057
"kudosdunce",-1.0827424808453
"britshaniece",0.31337880214457
"actionlimo",0.926055488305139
"Saxophied",-0.456576901559066
"tkdylan",1.54516016700822
"realDiaz413",-0.936267755671635
"heysaiii",0.748269762621176
"erikconnwedding",0.0477333492889088
"CurlySueChick19",-1.08752840943936
"BikinDoB",0.822097614161438
"Fandmevents",-0.525828281641305
"rosyyrozay",-0.654575511644106
"NetsDaily",0.975854351295026
"Danno2430",-1.37642381426369
"Mohans_Tailors",0.966120598926979
"FatouSadio",-1.40252311871201
"djsteveguillen",0.557151981464013
"itsaydrian",-2.34959757575237
"BaileyCarlin",-1.0676285931025
"hrhwe1032",1.36406678018048
"HQSatmar",-1.57690211857375
"nicolexvisconti",-0.157024545137605
"smokinscientist",-1.99756195173093
"SweetSweetSues",0.154501253517162
"AbbyChavaStein",-2.18385973605721
"RoyalPhotokc",-0.768247284182148
"ScottSandalow",-0.621888351442182
"sbwedding",0.616730556322874
"Jubair22",1.34155537741465
"DocDavePerez",-0.813938162524
"_QuarterWaters",1.02108560571414
"DJMichaelDemby",-0.579092949096204
"AnnetteNaif",0.994965559607516
"georgehahn",-1.24329637103438
"ldollaz_",-1.32079226857303
"yve168",-0.549312314123446
"TurexBaldwin",-2.06884115243851
"papiwhathappen",-2.02800328325954
"seterapia",-2.00943689116304
"hotlinebalingit",-0.449134977446806
"Miggs_93",0.987034826642297
"PdotHALL",-2.08594990686582
"yungchomsky",-1.65309140462045
"merepar",-1.16964390758228
"The_goat_",-0.302473739802372
"juanjo_ld",0.814317723433942
"RO_VEENUH",-1.2433529789991
"DrDamages",0.809534801030761
"RedGray",-1.52445834865466
"RantingBilly",1.02812705073034
"aplotwist",-0.88646242750996
"rhjlife",1.36157564640895
"TheErzenGashi",-1.27807780496319
"Adiithebaddie",-0.597838987220653
"CLNmssy",-1.51840056784109
"strangedove",-1.31591151647754
"Sour_Dream5",0.692543542614193
"DJWorldFamous",0.231238073639626
"BlancaCamachoNY",-1.88709478556028
"fromTheBronx",0.622947922095453
"Geoffdx",-0.665410391837383
"thebriankrock",-1.8537426955616
"apemonki",-0.913167173815596
"aczhang0",-1.22098107758407
"NickLaparra",-1.78262055368718
"melsideponytail",-2.05349282670814
"RIPbiu4j",-0.274821642872178
"bbyjord",-0.896780275815325
